pId,name,uniformNumber,position,nationality,teamId,gameId
413854,Jay Sebasio,,,Australia,16,114387
374917,Daisy Hocking,,,Australia,16,114387
375151,Isabel Smith,,,Australia,16,114387
375153,Olivia Olechnowicz,,,Australia,16,114387
374416,Jade Sherrington,,,Australia,16,114387
397715,Jasmine Jones,,,Australia,16,114387
374418,Sophie Richardson,,,Australia,16,114387
362696,Madison Ryan,,,Australia,16,114387
376691,Lily Mapp,,,Australia,16,114387
397713,Eliza Ashby,,,Australia,16,114387
397396,Matilda Trout,,,Australia,16,114387
378927,Jemyma Manyok,,,Australia,16,114387
396485,Jelizaveta Naidjonova,,,Latvia,610,114387
372580,Enija Brokane,,,Latvia,610,114387
396478,Adele Priedite,,,Latvia,610,114387
396459,Monta Culkstena,,,Latvia,610,114387
418628,Melanija Reicela Lagunovica,,,Latvia,610,114387
418536,Marta Arsentjeva,,,Latvia,610,114387
396482,Patricija Tikmere,,,Latvia,610,114387
418540,Darina Ivanova,,,Latvia,610,114387
417640,Laura Kikuste,,,Latvia,610,114387
396481,Evelina Sirsnina,,,Latvia,610,114387
418538,Madara Sakalova,,,Latvia,610,114387
372649,Sarlote Skrebele,,,Latvia,610,114387
419020,Salimata Kone,,,Côte d'Ivoire,44,114390
419017,Fatima Diouf,,,Côte d'Ivoire,44,114390
395745,Sarah Keita,,,Côte d'Ivoire,44,114390
394525,Ella Kone,,,Côte d'Ivoire,44,114390
394918,Fatima  Konate,,,Côte d'Ivoire,44,114390
394532,Adja Traore,,,Côte d'Ivoire,44,114390
395280,Jane Mary Diomande,,,Côte d'Ivoire,44,114390
395285,Maelhys N'dri,,,Côte d'Ivoire,44,114390
419023,Abigail Dia,,,Côte d'Ivoire,44,114390
395274,Lalya  Diarisso,,,Côte d'Ivoire,44,114390
419320,Aichata Mambone,,,Côte d'Ivoire,44,114390
395317,Aminata  Kone,,,Côte d'Ivoire,44,114390
393522,Morghan Reckley,,,USA,154,114390
393401,Jazman Bailey,,,USA,154,114390
368603,Nation Williams,,,USA,154,114390
393461,Tatianna Griffin,,,USA,154,114390
368604,Ivanna Wilson Manyacka,,,USA,154,114390
393521,Micah Ojo,,,USA,154,114390
393535,Maliya Hunter,,,USA,154,114390
393523,Arianna Robinson,,,USA,154,114390
393519,Olivia Jones,,,USA,154,114390
393520,Eve Long,,,USA,154,114390
417253,Nya Riak,,,USA,154,114390
393404,Caroline Bradley,,,USA,154,114390
398059,Zeina Amin,,,Egypt,53,114406
398065,Habiba Soliman,,,Egypt,53,114406
398078,Leila  Eissa,,,Egypt,53,114406
417067,Habiba Gamal Rizk,,,Egypt,53,114406
371623,Joudi Elsayed,,,Egypt,53,114406
398133,Hala Fetet,,,Egypt,53,114406
371622,Mariam Elshenawy,,,Egypt,53,114406
398080,Jodi  Abdalla,,,Egypt,53,114406
398067,Fatma Abdella,,,Egypt,53,114406
397558,Dana Abdalaa,,,Egypt,53,114406
398079,Hania  Hassabelnaby,,,Egypt,53,114406
398076,Sedra   Elshafey,,,Egypt,53,114406
373841,Areta Kahura,,,New Zealand,113,114406
372748,Charis Broughton,,,New Zealand,113,114406
377527,Imani Rasmussen,,,New Zealand,113,114406
413148,Sinai Foai,,,New Zealand,113,114406
372749,Shamar Broughton,,,New Zealand,113,114406
373843,Ava Jones,,,New Zealand,113,114406
392990,Elisa Brown,,,New Zealand,113,114406
372891,Emilia Ainley,,,New Zealand,113,114406
402764,Katie Moors,,,New Zealand,113,114406
373648,Sienna Maurice,,,New Zealand,113,114406
393077,Madelin Eliadis,,,New Zealand,113,114406
330556,Nahala Toeleiu,,,New Zealand,113,114406
370347,Olivia Lelli,,,Italy,83,114405
368530,Alessandra Padulo,,,Italy,83,114405
342323,Emilia Magni,,,Italy,83,114405
342219,Isabel Hassan,,,Italy,83,114405
342693,Sofia Zuccon,,,Italy,83,114405
367475,Anna Sablich,,,Italy,83,114405
370372,Aisha Diagne,,,Italy,83,114405
390984,Eleonora Tavella,,,Italy,83,114405
369310,Martina Pasqualetti,,,Italy,83,114405
369207,Mariana Nako Moni,,,Italy,83,114405
393427,Amelia Bianco Rossignoli,,,Italy,83,114405
330440,Susanna Perego,,,Italy,83,114405
392597,Lexi Wee,,,Canada,34,114405
368220,Jordyn Nohr,,,Canada,34,114405
416072,Samera Jeffers,,,Canada,34,114405
392599,Portia Reisen,,,Canada,34,114405
392595,Ashley Vande Ven,,,Canada,34,114405
392593,Pippa Gibb,,,Canada,34,114405
