date,award,emoji,desc,name,team,gameId,stat_val
2026-06-09,MVP,🏆,Highest total Net Pts,Brooke McLeod,CAN,130903,48.0
2026-06-09,LVP,💀,Lowest total Net Pts,Mia Huckaby,PUR,130903,-47.0
2026-06-09,Heater,🔥,Highest Offensive Net Pts,Brooke McLeod,CAN,130903,16.5
2026-06-09,Off Night,🌑,Lowest Offensive Net Pts,Mia Huckaby,PUR,130903,-30.9
2026-06-09,Stopper,🛡️,Highest Defensive Net Pts,Brooke McLeod,CAN,130903,31.5
2026-06-09,BBQ,🔥🥩,Lowest Defensive Net Pts,Mia Huckaby,PUR,130903,-16.1
2026-06-09,Spark Plug,⚡,Best Net Pts off bench,GG Banks,USA,130909,35.0
2026-06-09,Ice Cold,🧊,Lowest FG% (min 4 att),Mia Huckaby,PUR,130903,0.0
2026-06-09,Rain Maker,🌧️,Most above-break 3s made,Kaylen Sta Maria,CAN,130903,3.0
2026-06-09,Corner Pocket,📐,Most corner 3s made,Fernanda Campos,MEX,130908,2.0
2026-06-09,Juggernaut,🚂,Most shots made at rim,Jimena Velazquez,MEX,130908,5.0
2026-06-09,Surgical,🔬,Most mid-range makes,Astrid Inojosa,VEN,130901,3.0
2026-06-09,Speed Demon,💨,Most fast-break points,Chante Murray,CAN,130903,7.0
2026-06-09,Glass Cleaner,🪟,Most total rebounds,Alanna Monte,DOM,130901,16.0
2026-06-09,Ball Hawk,🦅,Most steals,Jordyn Palmer,USA,130909,7.0
2026-06-09,Cleanup Crew,🧹,Most putback points,Alanna Monte,DOM,130901,4.0
2026-06-09,Contact Artist,🎯,Most fouls drawn,Astrid Inojosa,VEN,130901,7.0
2026-06-09,Hacker,🪓,Most personal fouls committed,Alanna Monte,DOM,130901,5.0
2026-06-09,Facilitator,🎁,Most assists,Jimena Velazquez,MEX,130908,9.0
2026-06-09,Hot Potato,🥔,Most turnovers,Sol Lemesoff,ARG,130909,7.0
2026-06-10,MVP,🏆,Highest total Net Pts,Bella Flemings,USA,130910,52.0
2026-06-10,LVP,💀,Lowest total Net Pts,Natalia Valdez,DOM,130902,-43.0
2026-06-10,Heater,🔥,Highest Offensive Net Pts,Bella Flemings,USA,130910,26.5
2026-06-10,Off Night,🌑,Lowest Offensive Net Pts,Natalia Valdez,DOM,130902,-35.4
2026-06-10,Stopper,🛡️,Highest Defensive Net Pts,Matilda Campo,ARG,130912,39.5
2026-06-10,BBQ,🔥🥩,Lowest Defensive Net Pts,Jimena Velazquez,MEX,130910,-20.4
2026-06-10,Spark Plug,⚡,Best Net Pts off bench,Sydney Savoury,USA,130910,32.0
2026-06-10,Ice Cold,🧊,Lowest FG% (min 4 att),Alanna Monte,DOM,130902,0.0
2026-06-10,Rain Maker,🌧️,Most above-break 3s made,Kaleena Smith,USA,130910,6.0
2026-06-10,Corner Pocket,📐,Most corner 3s made,Sofia Lombardero,ARG,130912,3.0
2026-06-10,Juggernaut,🚂,Most shots made at rim,Jordyn Palmer,USA,130910,9.0
2026-06-10,Surgical,🔬,Most mid-range makes,Emilia Krstevski,CAN,130902,2.0
2026-06-10,Speed Demon,💨,Most fast-break points,Jordyn Wheeler,CAN,130902,6.0
2026-06-10,Glass Cleaner,🪟,Most total rebounds,Bella Flemings,USA,130910,11.0
2026-06-10,Ball Hawk,🦅,Most steals,Celina Novatti,ARG,130912,6.0
2026-06-10,Cleanup Crew,🧹,Most putback points,Jordyn Palmer,USA,130910,8.0
2026-06-10,Contact Artist,🎯,Most fouls drawn,Mezharith Beleño,VEN,130904,10.0
2026-06-10,Hacker,🪓,Most personal fouls committed,Delayny Calaz,DOM,130902,5.0
2026-06-10,Facilitator,🎁,Most assists,GG Banks,USA,130910,9.0
2026-06-10,Hot Potato,🥔,Most turnovers,Emely Rivera,DOM,130902,6.0
2026-06-12,MVP,🏆,Highest total Net Pts,Bella Flemings,USA,130911,55.0
2026-06-12,LVP,💀,Lowest total Net Pts,Sofia Vigna,PAR,130911,-50.0
2026-06-12,Heater,🔥,Highest Offensive Net Pts,Brooke McLeod,CAN,130906,18.2
2026-06-12,Off Night,🌑,Lowest Offensive Net Pts,Sofia Vigna,PAR,130911,-37.7
2026-06-12,Stopper,🛡️,Highest Defensive Net Pts,Bella Flemings,USA,130911,41.4
2026-06-12,BBQ,🔥🥩,Lowest Defensive Net Pts,Astrid Inojosa,VEN,130906,-23.9
2026-06-12,Spark Plug,⚡,Best Net Pts off bench,Sydney Savoury,USA,130911,41.0
2026-06-12,Ice Cold,🧊,Lowest FG% (min 4 att),Angela Crespo,VEN,130906,0.0
2026-06-12,Rain Maker,🌧️,Most above-break 3s made,Kaleena Smith,USA,130911,3.0
2026-06-12,Corner Pocket,📐,Most corner 3s made,Haylen Ayers,USA,130911,2.0
2026-06-12,Juggernaut,🚂,Most shots made at rim,Jordyn Palmer,USA,130911,7.0
2026-06-12,Surgical,🔬,Most mid-range makes,Dignora Duval,DOM,130905,2.0
2026-06-12,Speed Demon,💨,Most fast-break points,Jordyn Palmer,USA,130911,12.0
2026-06-12,Glass Cleaner,🪟,Most total rebounds,Brooke McLeod,CAN,130906,15.0
2026-06-12,Ball Hawk,🦅,Most steals,Jordyn Palmer,USA,130911,6.0
2026-06-12,Cleanup Crew,🧹,Most putback points,Savannah Swords,CAN,130906,7.0
2026-06-12,Contact Artist,🎯,Most fouls drawn,Albanys Ramirez,VEN,130906,6.0
2026-06-12,Hacker,🪓,Most personal fouls committed,Jaely De Leon,PUR,130905,5.0
2026-06-12,Facilitator,🎁,Most assists,Kaleena Smith,USA,130911,9.0
2026-06-12,Hot Potato,🥔,Most turnovers,Chantal Lopez,DOM,130905,7.0
2026-06-13,MVP,🏆,Highest total Net Pts,Sofia Lombardero,ARG,134672,44.0
2026-06-13,LVP,💀,Lowest total Net Pts,Alanna Monte,DOM,134672,-46.0
2026-06-13,Heater,🔥,Highest Offensive Net Pts,Sofia Lombardero,ARG,134672,17.9
2026-06-13,Off Night,🌑,Lowest Offensive Net Pts,Alanna Monte,DOM,134672,-27.3
2026-06-13,Stopper,🛡️,Highest Defensive Net Pts,Sofia Lombardero,ARG,134672,26.1
2026-06-13,BBQ,🔥🥩,Lowest Defensive Net Pts,Alanna Monte,DOM,134672,-18.7
2026-06-13,Spark Plug,⚡,Best Net Pts off bench,Mezharith Beleño,VEN,134673,24.0
2026-06-13,Ice Cold,🧊,Lowest FG% (min 4 att),Alanna Monte,DOM,134672,0.0
