gameId,date,home_team,home_short,home_id,home_score,away_team,away_short,away_id,away_score,country,city,fibaZone,competition,round,group,game_link
130901,2026-06-09,Venezuela,VEN,158,77,Dominican Republic,DOM,51,60,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130901-VEN-DOM
130903,2026-06-09,Canada,CAN,34,104,Puerto Rico,PUR,125,40,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130903-CAN-PUR
130908,2026-06-09,Mexico,MEX,104,83,Paraguay,PAR,120,67,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130908-MEX-PAR
130909,2026-06-09,Argentina,ARG,14,47,USA,USA,154,113,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130909-ARG-USA
130902,2026-06-10,Dominican Republic,DOM,51,46,Canada,CAN,34,96,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130902-DOM-CAN
130904,2026-06-10,Puerto Rico,PUR,125,65,Venezuela,VEN,158,84,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130904-PUR-VEN
130910,2026-06-10,USA,USA,154,125,Mexico,MEX,104,53,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130910-USA-MEX
130912,2026-06-10,Paraguay,PAR,120,38,Argentina,ARG,14,84,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130912-PAR-ARG
130905,2026-06-12,Dominican Republic,DOM,51,80,Puerto Rico,PUR,125,72,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130905-DOM-PUR
130906,2026-06-12,Canada,CAN,34,104,Venezuela,VEN,158,63,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130906-CAN-VEN
130907,2026-06-12,Argentina,ARG,14,71,Mexico,MEX,104,50,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130907-ARG-MEX
130911,2026-06-12,Paraguay,PAR,120,41,USA,USA,154,123,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/130911-PAR-USA
134672,2026-06-13,Argentina,ARG,14,86,Dominican Republic,DOM,51,51,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Quarter-Finals,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134672-ARG-DOM
134673,2026-06-13,Venezuela,VEN,158,80,Mexico,MEX,104,69,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Quarter-Finals,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134673-VEN-MEX
134674,2026-06-14,Paraguay,PAR,120,69,Dominican Republic,DOM,51,64,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Classification 5-8,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134674-PAR-DOM
134675,2026-06-14,Puerto Rico,PUR,125,64,Mexico,MEX,104,84,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Classification 5-8,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134675-PUR-MEX
134676,2026-06-14,Canada,CAN,34,64,Argentina,ARG,14,52,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Semi-Finals,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134676-CAN-ARG
134677,2026-06-14,USA,USA,154,104,Venezuela,VEN,158,51,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Semi-Finals,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134677-USA-VEN
134678,2026-06-15,Dominican Republic,DOM,51,55,Puerto Rico,PUR,125,56,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Classification 7-8,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134678-DOM-PUR
134679,2026-06-15,Paraguay,PAR,120,61,Mexico,MEX,104,68,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Classification 5-6,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134679-PAR-MEX
134680,2026-06-15,Argentina,ARG,14,73,Venezuela,VEN,158,49,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,3rd Place Game,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134680-ARG-VEN
134681,2026-06-15,Canada,CAN,34,72,USA,USA,154,90,Mexico,Irapuato,Americas,FIBA U18 Women's AmeriCup,Final,,https://www.fiba.basketball/en/events/fiba-u18-womens-americup-2026/games/134681-CAN-USA
