pId,name,uniformNumber,position,nationality,teamId,gameId
381287,Greidysmar Camacaro,1.0,SG,Venezuela,158,130901
356191,Astrid Inojosa,10.0,G,Venezuela,158,130901
404310,Jeiselys Figueroa,11.0,SF,Venezuela,158,130901
394115,Fabiola Garcia,13.0,C,Venezuela,158,130901
381296,Sofia Blanca,16.0,C,Venezuela,158,130901
404462,Angela Crespo,22.0,F,Venezuela,158,130901
381289,Roberli Perez,23.0,PG,Venezuela,158,130901
381292,Albanys Ramirez,4.0,PF,Venezuela,158,130901
417313,Ruby Escobar,5.0,G,Venezuela,158,130901
404326,Mezharith Beleño,7.0,SG,Venezuela,158,130901
404137,Antonella Ramos,8.0,PG,Venezuela,158,130901
356210,Alexandra Cabeza,9.0,F,Venezuela,158,130901
368327,Natalia Valdez,10.0,,Dominican Republic,51,130901
371629,Nathaly Santana,11.0,PF,Dominican Republic,51,130901
417537,Dignora Duval,12.0,PG,Dominican Republic,51,130901
417536,Leia Perez,13.0,PG,Dominican Republic,51,130901
371596,Chantal Lopez,14.0,PG,Dominican Republic,51,130901
319242,Robmariel Medrano,18.0,F,Dominican Republic,51,130901
417535,Alyssa Lopez,2.0,PG,Dominican Republic,51,130901
319232,Emely Rivera,3.0,SG,Dominican Republic,51,130901
371626,Delayny Calaz,5.0,C,Dominican Republic,51,130901
343241,Juneiry Soto,6.0,PG,Dominican Republic,51,130901
343128,Yarianna Torres,7.0,SG,Dominican Republic,51,130901
295344,Alanna Monte,8.0,F,Dominican Republic,51,130901
368568,Emilia Krstevski,1.0,F,Canada,34,130903
415989,Isabella Sangha,11.0,F,Canada,34,130903
415969,Alex Newson,12.0,F,Canada,34,130903
368223,Brooke McLeod,17.0,F,Canada,34,130903
342677,Savannah Swords,21.0,F,Canada,34,130903
342483,Jordyn Wheeler,23.0,F,Canada,34,130903
415990,Eunicia Salgado,3.0,F,Canada,34,130903
415992,Gabriela Morash,4.0,G,Canada,34,130903
368226,Chante Murray,5.0,F,Canada,34,130903
416071,Kaylen Sta Maria,6.0,G,Canada,34,130903
415958,Ayla Corrigale,7.0,G,Canada,34,130903
416109,Arianna Turla,8.0,F,Canada,34,130903
371983,Amahya Hernandez,0.0,G,Puerto Rico,125,130903
320462,Andrea Alamo,1.0,SG,Puerto Rico,125,130903
371631,Lucianna Parrotta,10.0,SF,Puerto Rico,125,130903
415780,Mia Huckaby,11.0,SG,Puerto Rico,125,130903
342087,Natalia Centeno,12.0,C,Puerto Rico,125,130903
394218,Valeria Medina,14.0,G,Puerto Rico,125,130903
319010,Walushka Hodge,15.0,SG,Puerto Rico,125,130903
415448,Nyasia Caban,2.0,G,Puerto Rico,125,130903
320463,Jaely De Leon,21.0,C,Puerto Rico,125,130903
305567,Ariana Montalvo,22.0,PG,Puerto Rico,125,130903
342175,Valeria Muñoz,3.0,G,Puerto Rico,125,130903
393969,Miranda Wilson,31.0,C,Puerto Rico,125,130903
372195,Aislin Tamez,10.0,F,Mexico,104,130908
417357,Fernanda Campos,11.0,G,Mexico,104,130908
