gameId,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,teamId,nationality,uniformNumber,name,10+ ppg,FGP,mins,secs,MP
130901,417313,-5,False,0,0,2,1,2,2,1.0,0,0,,2,2,1,0,0.0,0,0,4,2,1,0,6,1,1,100.0,5:21,158,Venezuela,5.0,Ruby Escobar,0,1.0,5,21,5.4
130901,381292,25,True,4,0,5,3,10,5,0.5,3,0,0.0,13,5,6,2,0.333,2,1,12,7,3,3,11,10,5,50.0,24:33,158,Venezuela,4.0,Albanys Ramirez,1,0.385,24,33,24.6
130901,381287,26,False,1,0,1,2,3,2,0.667,2,0,0.0,5,2,4,0,0.0,1,3,4,2,1,2,-1,3,2,66.7,28:24,158,Venezuela,1.0,Greidysmar Camacaro,0,0.4,28,24,28.4
130901,404326,6,False,4,0,0,3,7,3,0.429,2,0,0.0,9,3,0,0,,2,2,6,2,3,6,3,7,3,42.9,23:37,158,Venezuela,7.0,Mezharith Beleño,0,0.333,23,37,23.6
130901,404137,5,False,0,0,0,0,1,0,0.0,0,0,,1,0,0,0,,0,1,0,0,0,1,-2,1,0,0.0,5:1,158,Venezuela,8.0,Antonella Ramos,0,0.0,5,1,5.0
130901,356210,4,True,3,0,9,5,6,2,0.333,0,0,,6,2,8,5,0.625,2,3,9,11,3,1,18,6,2,33.3,31:42,158,Venezuela,9.0,Alexandra Cabeza,0,0.333,31,42,31.7
130901,356191,13,True,6,3,3,7,12,7,0.583,6,3,0.5,18,10,14,10,0.714,1,1,33,4,4,3,35,7,4,57.1,33:13,158,Venezuela,10.0,Astrid Inojosa,1,0.556,33,13,33.2
130901,404310,-4,False,0,0,0,0,1,1,1.0,1,0,0.0,2,1,0,0,,1,0,2,1,0,1,1,1,1,100.0,4:9,158,Venezuela,11.0,Jeiselys Figueroa,0,0.5,4,9,4.2
130901,394115,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,158,Venezuela,13.0,Fabiola Garcia,0,,0,0,0.0
130901,381296,3,True,0,0,3,0,1,0,0.0,0,0,,1,0,0,0,,0,4,0,3,0,1,1,1,0,0.0,5:56,158,Venezuela,16.0,Sofia Blanca,0,0.0,5,56,5.9
130901,404462,7,False,0,0,2,3,2,1,0.5,0,0,,2,1,4,2,0.5,1,2,4,3,0,0,4,1,1,100.0,16:1,158,Venezuela,22.0,Angela Crespo,0,0.5,16,1,16.0
130901,381289,5,True,0,0,0,3,1,0,0.0,3,1,0.333,4,1,2,0,0.0,2,3,3,2,2,3,-1,1,0,0.0,22:3,158,Venezuela,23.0,Roberli Perez,0,0.25,22,3,22.0
130901,417535,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,51,Dominican Republic,2.0,Alyssa Lopez,0,,0,0,0.0
130901,319232,-12,False,0,0,0,2,1,0,0.0,0,0,,1,0,2,0,0.0,2,1,0,2,0,0,-1,1,0,0.0,8:3,51,Dominican Republic,3.0,Emely Rivera,0,0.0,8,3,8.0
130901,371626,-2,False,1,0,3,1,0,0,,0,0,,0,0,2,1,0.5,0,3,1,3,0,2,2,0,0,0.0,6:1,51,Dominican Republic,5.0,Delayny Calaz,0,,6,1,6.0
130901,343241,-5,False,1,0,1,2,2,0,0.0,0,0,,2,0,4,2,0.5,0,3,2,1,2,3,-1,2,0,0.0,13:19,51,Dominican Republic,6.0,Juneiry Soto,0,0.0,13,19,13.3
130901,343128,-18,True,3,0,1,4,6,1,0.167,2,0,0.0,8,1,2,1,0.5,0,2,3,1,4,5,-2,6,1,16.7,27:44,51,Dominican Republic,7.0,Yarianna Torres,0,0.125,27,44,27.7
