date,gameId,name,team,nationality,PTS,REB,OR,DR,AS,ST,BS,PF,FD,FTM,FGA,FGM,FG3M,TO,MP,PM,EFF,off_net,def_net,stocks,starter,WL,WL_raw,corner3m,abovebk3m,rim_makes,midrange_makes,fb_pts,putback_pts
2026-06-09,130901,Ruby Escobar,VEN,Venezuela,4,2,0,2,0,1,0,0,1,0,2,2,0,0,5.4,-5,6,-1.5,-3.5,1,False,+17,17,0,0,0,1,0,0
2026-06-09,130901,Albanys Ramirez,VEN,Venezuela,12,7,2,5,4,3,0,1,3,2,13,5,0,3,24.6,25,11,7.4,17.6,3,True,+17,17,0,0,4,0,4,0
2026-06-09,130901,Greidysmar Camacaro,VEN,Venezuela,4,2,1,1,1,1,0,3,2,0,5,2,0,2,28.4,26,-1,7.7,18.3,1,False,+17,17,0,0,1,0,2,0
2026-06-09,130901,Mezharith Beleño,VEN,Venezuela,6,2,2,0,4,3,0,2,3,0,9,3,0,6,23.6,6,3,1.8,4.2,3,False,+17,17,0,0,2,0,2,2
2026-06-09,130901,Antonella Ramos,VEN,Venezuela,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5.0,5,-2,1.5,3.5,0,False,+17,17,0,0,0,0,0,0
2026-06-09,130901,Alexandra Cabeza,VEN,Venezuela,9,11,2,9,3,3,0,3,5,5,6,2,0,1,31.7,4,18,1.2,2.8,3,True,+17,17,0,0,1,0,0,0
2026-06-09,130901,Astrid Inojosa,VEN,Venezuela,33,4,1,3,6,4,3,1,7,10,18,10,3,3,33.2,13,35,3.8,9.2,7,True,+17,17,1,2,0,3,2,0
2026-06-09,130901,Jeiselys Figueroa,VEN,Venezuela,2,1,1,0,0,0,0,0,0,0,2,1,0,1,4.2,-4,1,-1.2,-2.8,0,False,+17,17,0,0,1,0,0,0
2026-06-09,130901,Sofia Blanca,VEN,Venezuela,0,3,0,3,0,0,0,4,0,0,1,0,0,1,5.9,3,1,0.9,2.1,0,True,+17,17,0,0,0,0,0,0
2026-06-09,130901,Angela Crespo,VEN,Venezuela,4,3,1,2,0,0,0,2,3,2,2,1,0,0,16.0,7,4,2.1,4.9,0,False,+17,17,0,0,0,0,0,0
2026-06-09,130901,Roberli Perez,VEN,Venezuela,3,2,2,0,0,2,0,3,3,0,4,1,1,3,22.0,5,-1,1.5,3.5,2,True,+17,17,0,1,0,0,0,0
2026-06-09,130901,Emely Rivera,DOM,Dominican Republic,0,2,2,0,0,0,0,1,2,0,1,0,0,0,8.0,-12,-1,-8.4,-3.6,0,False,-17,-17,0,0,0,0,0,0
2026-06-09,130901,Delayny Calaz,DOM,Dominican Republic,1,3,0,3,1,0,0,3,1,1,0,0,0,2,6.0,-2,2,-1.4,-0.6,0,False,-17,-17,0,0,0,0,0,0
2026-06-09,130901,Juneiry Soto,DOM,Dominican Republic,2,1,0,1,1,2,0,3,2,2,2,0,0,3,13.3,-5,-1,-3.5,-1.5,2,False,-17,-17,0,0,0,0,0,0
2026-06-09,130901,Yarianna Torres,DOM,Dominican Republic,3,1,0,1,3,4,0,2,4,1,8,1,0,5,27.7,-18,-2,-12.7,-5.3,4,True,-17,-17,0,0,0,0,2,0
2026-06-09,130901,Alanna Monte,DOM,Dominican Republic,12,16,3,13,1,2,0,5,2,2,9,5,0,3,26.8,3,24,2.1,0.9,2,True,-17,-17,0,0,4,0,0,4
2026-06-09,130901,Natalia Valdez,DOM,Dominican Republic,13,3,0,3,0,2,0,1,4,2,13,5,1,3,34.0,-12,5,-8.4,-3.6,2,True,-17,-17,0,1,3,0,2,0
2026-06-09,130901,Nathaly Santana,DOM,Dominican Republic,17,7,3,4,3,2,1,2,3,4,22,6,1,4,34.4,-2,9,-1.4,-0.6,3,True,-17,-17,0,1,2,1,0,4
2026-06-09,130901,Dignora Duval,DOM,Dominican Republic,8,3,1,2,0,0,1,4,0,0,6,4,0,1,14.6,-16,9,-11.3,-4.7,1,False,-17,-17,0,0,4,0,4,0
2026-06-09,130901,Chantal Lopez,DOM,Dominican Republic,2,0,0,0,1,0,0,4,2,0,1,1,0,5,15.6,-18,-2,-12.7,-5.3,0,False,-17,-17,0,0,0,0,0,0
2026-06-09,130901,Robmariel Medrano,DOM,Dominican Republic,2,4,1,3,1,0,0,2,0,0,4,1,0,1,18.5,-3,3,-2.1,-0.9,0,True,-17,-17,0,0,1,0,0,0
2026-06-09,130903,Arianna Turla,CAN,Canada,2,0,0,0,1,1,0,2,1,0,2,1,0,0,11.2,15,3,5.2,9.8,1,False,+64,64,0,0,1,0,2,0
2026-06-09,130903,Ayla Corrigale,CAN,Canada,4,2,0,2,2,2,0,1,2,0,3,2,0,1,13.7,11,8,3.8,7.2,2,False,+64,64,0,0,2,0,2,0
2026-06-09,130903,Kaylen Sta Maria,CAN,Canada,13,3,1,2,4,0,0,0,1,0,9,5,3,0,18.9,26,16,8.9,17.1,0,False,+64,64,0,3,1,0,0,0
2026-06-09,130903,Chante Murray,CAN,Canada,12,2,0,2,2,3,0,2,4,5,5,3,1,1,15.6,33,14,11.3,21.7,3,True,+64,64,0,1,1,0,7,0
2026-06-09,130903,Gabriela Morash,CAN,Canada,10,2,0,2,8,2,0,0,0,0,4,4,2,1,20.4,43,21,14.8,28.2,2,True,+64,64,0,2,1,1,5,0
2026-06-09,130903,Eunicia Salgado,CAN,Canada,9,7,2,5,0,3,0,0,2,2,5,3,1,1,14.9,15,16,5.2,9.8,3,False,+64,64,1,0,2,0,0,0
2026-06-09,130903,Emilia Krstevski,CAN,Canada,5,6,2,4,2,1,0,1,2,1,5,2,0,1,13.8,22,8,7.6,14.4,1,False,+64,64,0,0,1,0,0,2
2026-06-09,130903,Isabella Sangha,CAN,Canada,3,4,0,4,0,2,2,0,2,1,3,1,0,1,15.8,20,5,6.9,13.1,4,False,+64,64,0,0,0,1,0,0
2026-06-09,130903,Alex Newson,CAN,Canada,12,0,0,0,3,1,0,1,3,4,10,3,2,2,16.7,23,7,7.9,15.1,1,False,+64,64,1,1,1,0,5,0
2026-06-09,130903,Brooke McLeod,CAN,Canada,6,3,1,2,2,1,0,3,2,2,2,2,0,3,18.6,48,7,16.5,31.5,1,True,+64,64,0,0,2,0,0,2
2026-06-09,130903,Savannah Swords,CAN,Canada,17,6,0,6,4,2,1,1,2,2,10,7,1,1,20.3,36,24,12.4,23.6,3,True,+64,64,1,0,1,3,0,0
2026-06-09,130903,Jordyn Wheeler,CAN,Canada,11,3,0,3,2,2,1,2,2,2,4,4,1,1,20.3,28,18,9.6,18.4,3,True,+64,64,0,1,3,0,2,0
2026-06-09,130903,Amahya Hernandez,PUR,Puerto Rico,0,3,2,1,1,1,0,3,0,0,2,0,0,2,14.4,-16,1,-10.5,-5.5,1,False,-64,-64,0,0,0,0,0,0
2026-06-09,130903,Andrea Alamo,PUR,Puerto Rico,12,2,0,2,0,1,0,2,1,2,15,4,2,3,21.1,-38,1,-24.9,-13.1,1,True,-64,-64,0,2,0,2,0,0
2026-06-09,130903,Nyasia Caban,PUR,Puerto Rico,1,3,2,1,3,0,0,1,3,1,0,0,0,5,15.1,-5,-1,-3.3,-1.7,0,False,-64,-64,0,0,0,0,0,0
2026-06-09,130903,Valeria Muñoz,PUR,Puerto Rico,0,0,0,0,0,2,0,0,0,0,2,0,0,3,12.9,-25,-3,-16.4,-8.6,2,False,-64,-64,0,0,0,0,0,0
2026-06-09,130903,Lucianna Parrotta,PUR,Puerto Rico,9,2,1,1,1,1,0,2,3,1,9,4,0,0,18.4,-32,7,-21.0,-11.0,1,True,-64,-64,0,0,2,1,0,0
2026-06-09,130903,Mia Huckaby,PUR,Puerto Rico,0,1,0,1,0,0,0,1,1,0,5,0,0,3,16.8,-47,-7,-30.9,-16.1,0,True,-64,-64,0,0,0,0,0,0
2026-06-09,130903,Natalia Centeno,PUR,Puerto Rico,4,3,0,3,1,0,0,3,0,0,4,2,0,2,13.9,-28,4,-18.4,-9.6,0,False,-64,-64,0,0,2,0,2,0
2026-06-09,130903,Valeria Medina,PUR,Puerto Rico,6,3,0,3,1,0,1,1,0,0,6,3,0,2,18.4,-31,6,-20.3,-10.7,1,True,-64,-64,0,0,2,1,2,0
2026-06-09,130903,Walushka Hodge,PUR,Puerto Rico,2,3,2,1,0,0,0,0,0,0,5,1,0,2,11.6,-11,-1,-7.2,-3.8,0,False,-64,-64,0,0,1,0,0,2
2026-06-09,130903,Jaely De Leon,PUR,Puerto Rico,2,4,1,3,1,1,0,3,0,0,4,1,0,2,20.0,-36,3,-23.6,-12.4,1,True,-64,-64,0,0,0,1,0,0
2026-06-09,130903,Ariana Montalvo,PUR,Puerto Rico,0,1,0,1,1,0,0,4,4,0,2,0,0,1,15.2,-26,-1,-17.1,-8.9,0,False,-64,-64,0,0,0,0,0,0
2026-06-09,130903,Miranda Wilson,PUR,Puerto Rico,4,1,0,1,1,0,0,3,1,0,7,2,0,3,22.1,-25,-2,-16.4,-8.6,0,False,-64,-64,0,0,2,0,0,0
2026-06-09,130908,Yania Valverde,MEX,Mexico,5,2,1,1,0,0,1,3,1,1,5,2,0,2,19.0,15,2,2.0,13.0,1,False,+16,16,0,0,0,1,0,0
2026-06-09,130908,Ana Camila Paez,MEX,Mexico,0,6,0,6,1,1,0,1,0,0,2,0,0,3,16.2,9,3,1.2,7.8,1,False,+16,16,0,0,0,0,0,0
2026-06-09,130908,Mildred Vazquez,MEX,Mexico,4,4,3,1,1,1,0,1,1,1,3,1,1,1,17.2,1,6,0.1,0.9,1,True,+16,16,0,1,0,0,3,0
2026-06-09,130908,Sofia Saucedo,MEX,Mexico,5,5,1,4,1,1,0,0,1,1,3,2,0,0,13.1,7,10,1.0,6.0,1,False,+16,16,0,0,2,0,0,2
2026-06-09,130908,Fernanda Campos,MEX,Mexico,13,4,0,4,6,2,0,2,3,1,7,4,4,2,22.8,19,19,2.6,16.4,2,True,+16,16,2,2,0,0,0,0
2026-06-09,130908,Aislin Tamez,MEX,Mexico,16,9,4,5,1,1,3,4,3,0,12,7,2,5,27.6,7,20,1.0,6.0,4,True,+16,16,0,2,3,0,0,2
2026-06-09,130908,Valentina Peraza,MEX,Mexico,4,5,2,3,2,1,0,1,3,2,6,1,0,1,19.2,5,2,0.7,4.3,1,False,+16,16,0,0,1,0,0,2
2026-06-09,130908,Jimena Velazquez,MEX,Mexico,22,4,1,3,9,6,0,1,6,7,11,7,1,5,34.5,19,30,2.6,16.4,6,True,+16,16,0,1,5,1,4,0
2026-06-09,130908,Renata Palma,MEX,Mexico,3,2,0,2,0,0,0,0,0,0,5,1,1,1,16.4,5,0,0.7,4.3,0,True,+16,16,0,1,0,0,0,0
2026-06-09,130908,Julieta Cruz,MEX,Mexico,11,3,2,1,0,1,0,4,3,1,6,4,2,4,14.0,-7,6,-1.0,-6.0,1,False,+16,16,1,1,1,0,0,2
2026-06-09,130908,Maria Franco,PAR,Paraguay,4,3,2,1,0,0,1,0,1,0,5,2,0,2,14.1,-7,3,-6.0,-1.0,1,False,-16,-16,0,0,0,1,0,0
2026-06-09,130908,Bethsaida Ferreira,PAR,Paraguay,6,6,2,4,1,1,0,3,2,0,12,3,0,3,27.4,-13,2,-11.2,-1.8,1,True,-16,-16,0,0,2,0,0,0
2026-06-09,130908,Sofia Vigna,PAR,Paraguay,9,2,1,1,2,1,0,2,2,1,15,3,2,2,37.6,-16,-1,-13.8,-2.2,1,True,-16,-16,1,1,1,0,2,0
2026-06-09,130908,Giovana Gonzalez,PAR,Paraguay,16,3,1,2,2,4,1,4,2,1,13,6,3,3,18.2,-12,15,-10.4,-1.6,5,False,-16,-16,0,3,1,1,3,2
2026-06-09,130908,Agustina Fernandez,PAR,Paraguay,4,1,1,0,0,0,2,1,1,0,2,2,0,0,12.8,0,7,0.0,0.0,2,False,-16,-16,0,0,0,1,0,0
2026-06-09,130908,Karin Caceres,PAR,Paraguay,11,5,3,2,4,2,0,1,1,0,9,5,1,5,27.3,-15,13,-13.0,-2.0,2,True,-16,-16,0,1,3,0,2,2
2026-06-09,130908,Sofia Gomez,PAR,Paraguay,5,8,5,3,0,2,0,1,2,1,3,2,0,0,26.6,-14,11,-12.1,-1.9,2,True,-16,-16,0,0,1,0,2,0
2026-06-09,130908,Maria Montañez,PAR,Paraguay,3,0,0,0,0,0,0,4,0,0,3,1,1,0,7.3,0,1,0.0,0.0,0,False,-16,-16,0,1,0,0,0,0
2026-06-09,130908,Gilda Duarte,PAR,Paraguay,6,6,1,5,8,3,0,5,5,2,11,2,0,4,26.8,-2,4,-1.7,-0.3,3,True,-16,-16,0,0,2,0,4,0
2026-06-09,130909,Matilda Campo,ARG,Argentina,1,5,2,3,0,1,0,5,2,1,1,0,0,1,15.5,-39,4,-26.8,-12.2,1,True,-66,-66,0,0,0,0,0,0
2026-06-09,130909,Renata Scordo,ARG,Argentina,0,3,2,1,0,2,0,4,3,0,1,0,0,3,16.6,-40,-3,-27.5,-12.5,2,True,-66,-66,0,0,0,0,0,0
2026-06-09,130909,Sofia Novoa,ARG,Argentina,12,2,1,1,1,0,0,3,5,5,9,3,1,4,21.1,-38,4,-26.1,-11.9,0,True,-66,-66,0,1,2,0,0,0
2026-06-09,130909,Venetia Oliva,ARG,Argentina,3,1,0,1,0,0,0,0,1,0,2,1,1,3,3.0,-7,0,-4.8,-2.2,0,False,-66,-66,1,0,0,0,0,0
2026-06-09,130909,Sol Lemesoff,ARG,Argentina,2,7,3,4,0,1,1,2,0,0,4,1,0,7,23.6,-36,1,-24.7,-11.3,2,False,-66,-66,0,0,1,0,0,2
2026-06-09,130909,Sofia Lombardero,ARG,Argentina,8,3,1,2,0,2,0,2,4,6,10,1,0,3,21.5,-39,1,-26.8,-12.2,2,True,-66,-66,0,0,1,0,2,0
2026-06-09,130909,Celina Novatti,ARG,Argentina,0,0,0,0,0,1,0,2,3,0,4,0,0,1,16.4,-15,-6,-10.3,-4.7,1,False,-66,-66,0,0,0,0,0,0
2026-06-09,130909,Santina Cherot,ARG,Argentina,14,2,1,1,2,0,1,2,5,8,17,3,0,7,20.4,-30,-2,-20.6,-9.4,1,False,-66,-66,0,0,2,1,0,2
2026-06-09,130909,Francisca Canello,ARG,Argentina,2,2,0,2,0,0,0,1,3,0,2,1,0,1,22.2,-20,0,-13.7,-6.3,0,False,-66,-66,0,0,0,1,0,0
