gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
130901,Venezuela,158,VEN,77,89.35083407275954,86.2,2,67.2,46.0,24.6,69.4,66.7
130901,Dominican Republic,51,DOM,60,89.35083407275954,67.2,3,86.2,35.8,31.3,71.7,47.8
130903,Canada,34,CAN,104,82.01038647342995,126.8,6,48.8,68.5,15.9,78.3,81.1
130903,Puerto Rico,125,PUR,40,82.01038647342995,48.8,1,126.8,29.5,35.4,77.8,58.8
130908,Mexico,104,MEX,83,80.79020979020979,102.7,4,82.9,57.5,29.7,61.5,72.4
130908,Paraguay,120,PAR,67,80.79020979020979,82.9,2,102.7,41.9,24.8,54.5,63.0
130909,Argentina,14,ARG,47,92.3033088235294,50.9,2,122.4,21.2,40.1,37.5,27.3
130909,USA,154,USA,113,92.3033088235294,122.4,6,50.9,54.4,27.1,70.6,71.1
130902,Dominican Republic,51,DOM,46,87.13776147959183,52.8,0,110.2,41.5,48.2,65.3,62.5
130902,Canada,34,CAN,96,87.13776147959183,110.2,3,52.8,52.4,17.2,81.2,73.0
130904,Puerto Rico,125,PUR,65,82.61960424316605,78.7,3,101.7,33.3,19.4,53.5,63.6
130904,Venezuela,158,VEN,84,82.61960424316605,101.7,3,78.7,43.4,21.8,70.2,66.7
130910,USA,154,USA,125,88.289975,141.6,5,60.0,57.6,14.7,81.2,58.8
130910,Mexico,104,MEX,53,88.289975,60.0,0,141.6,29.1,26.1,42.0,82.4
130912,Paraguay,120,PAR,38,82.3077993839045,46.2,0,102.1,22.2,35.2,63.3,50.0
130912,Argentina,14,ARG,84,82.3077993839045,102.1,4,46.2,45.1,20.7,67.9,65.4
130905,Dominican Republic,51,DOM,80,87.79860795454545,91.1,3,82.0,45.5,30.8,63.6,50.0
130905,Puerto Rico,125,PUR,72,87.79860795454545,82.0,4,91.1,43.5,31.9,52.1,65.4
130906,Canada,34,CAN,104,80.66153472222223,128.9,5,78.1,56.8,14.9,81.2,77.5
130906,Venezuela,158,VEN,63,80.66153472222223,78.1,2,128.9,35.3,17.4,51.1,52.4
130907,Argentina,14,ARG,71,70.22910165484635,101.1,3,71.2,43.2,21.4,75.6,70.8
130907,Mexico,104,MEX,50,70.22910165484635,71.2,1,101.1,37.5,19.9,55.3,70.0
130911,Paraguay,120,PAR,41,102.73613034188034,39.9,0,119.7,23.0,39.9,48.9,75.0
130911,USA,154,USA,123,102.73613034188034,119.7,5,39.9,58.2,24.3,86.5,78.0
134672,Argentina,14,ARG,86,71.79472972972974,119.8,4,71.0,59.2,20.9,62.5,84.4
134672,Dominican Republic,51,DOM,51,71.79472972972974,71.0,2,119.8,31.8,25.1,62.2,53.3
134673,Venezuela,158,VEN,80,86.71242793791575,92.3,4,79.6,47.8,21.9,72.7,51.7
134673,Mexico,104,MEX,69,86.71242793791575,79.6,5,92.3,36.9,19.6,73.2,66.7
134674,Paraguay,120,PAR,69,83.11743243243244,83.0,3,77.0,37.5,21.7,62.2,64.0
134674,Dominican Republic,51,DOM,64,83.11743243243244,77.0,3,83.0,42.4,36.1,66.7,73.9
134675,Puerto Rico,125,PUR,64,87.70307692307692,73.0,2,95.8,40.7,26.2,65.4,48.1
134675,Mexico,104,MEX,84,87.70307692307692,95.8,5,73.0,46.3,19.4,71.2,87.9
134676,Canada,34,CAN,64,77.34078808446455,82.8,5,67.2,48.2,29.7,74.4,65.2
134676,Argentina,14,ARG,52,77.34078808446455,67.2,3,82.8,35.6,31.0,79.4,38.9
134677,USA,154,USA,104,84.56421717171717,123.0,4,60.3,49.5,15.4,81.8,65.9
134677,Venezuela,158,VEN,51,84.56421717171717,60.3,1,123.0,32.5,29.6,46.3,35.3
134678,Dominican Republic,51,DOM,55,78.73427158999193,69.9,2,71.1,27.1,27.9,73.8,112.5
134678,Puerto Rico,125,PUR,56,78.73427158999193,71.1,2,69.9,35.3,29.2,54.2,82.4
134679,Paraguay,120,PAR,61,88.3702534965035,69.0,2,76.9,36.8,33.9,65.9,56.0
134679,Mexico,104,MEX,68,88.3702534965035,76.9,1,69.0,38.8,30.6,63.5,60.0
134680,Argentina,14,ARG,73,70.12199275362319,104.1,4,69.9,39.9,22.8,67.4,40.0
134680,Venezuela,158,VEN,49,70.12199275362319,69.9,2,104.1,32.8,25.7,45.8,47.4
134681,Canada,34,CAN,72,81.24358333333333,88.6,4,110.8,43.9,22.2,62.5,70.4
134681,USA,154,USA,90,81.24358333333333,110.8,3,88.6,44.7,16.0,71.1,76.7
