gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
130901,Venezuela,158,VEN,1,18,3,34,13,47,27,46,23,50.0,17,4,23.5,63,27,42.9,39,19,48.7,39,19,48.7,20,77,17,22,2,200.0,130901,Dominican Republic,51,DOM,1,11,2,33,15,48,20,52,21,40.4,15,2,13.3,67,23,34.3,21,12,57.1,49,20,40.8,27,60,12,28,3,200.0
130901,Dominican Republic,51,DOM,2,11,2,33,15,48,20,52,21,40.4,15,2,13.3,67,23,34.3,21,12,57.1,49,20,40.8,27,60,12,28,3,200.0,130901,Venezuela,158,VEN,2,18,3,34,13,47,27,46,23,50.0,17,4,23.5,63,27,42.9,39,19,48.7,39,19,48.7,20,77,17,22,2,200.0
130903,Canada,34,CAN,1,30,4,36,6,42,23,40,26,65.0,22,11,50.0,62,37,59.7,30,19,63.3,31,21,67.7,13,104,20,13,6,200.0,130903,Puerto Rico,125,PUR,1,10,1,21,10,31,13,38,15,39.5,23,2,8.7,61,17,27.9,8,4,50.0,28,10,35.7,23,40,6,29,1,200.0
130903,Puerto Rico,125,PUR,2,10,1,21,10,31,13,38,15,39.5,23,2,8.7,61,17,27.9,8,4,50.0,28,10,35.7,23,40,6,29,1,200.0,130903,Canada,34,CAN,2,30,4,36,6,42,23,40,26,65.0,22,11,50.0,62,37,59.7,30,19,63.3,31,21,67.7,13,104,20,13,6,200.0
130908,Mexico,104,MEX,1,21,4,32,15,47,21,35,18,51.4,25,11,44.0,60,29,48.3,27,14,51.9,29,16,55.2,17,83,14,24,4,200.0,130908,Paraguay,120,PAR,1,17,4,18,20,38,17,39,19,48.7,35,8,22.9,74,27,36.5,18,5,27.8,35,16,45.7,21,67,13,20,2,200.0
130908,Paraguay,120,PAR,2,17,4,18,20,38,17,39,19,48.7,35,8,22.9,74,27,36.5,18,5,27.8,35,16,45.7,21,67,13,20,2,200.0,130908,Mexico,104,MEX,2,21,4,32,15,47,21,35,18,51.4,25,11,44.0,60,29,48.3,27,14,51.9,29,16,55.2,17,83,14,24,4,200.0
130909,Argentina,14,ARG,1,3,2,18,15,33,28,38,8,21.1,21,3,14.3,59,11,18.6,32,22,68.8,33,6,18.2,26,47,7,37,2,200.0,130909,USA,154,USA,1,27,2,36,30,66,26,51,27,52.9,29,11,37.9,80,38,47.5,35,26,74.3,44,24,54.6,28,113,21,25,6,200.0
130909,USA,154,USA,2,27,2,36,30,66,26,51,27,52.9,29,11,37.9,80,38,47.5,35,26,74.3,44,24,54.6,28,113,21,25,6,200.0,130909,Argentina,14,ARG,2,3,2,18,15,33,28,38,8,21.1,21,3,14.3,59,11,18.6,32,22,68.8,33,6,18.2,26,47,7,37,2,200.0
130902,Dominican Republic,51,DOM,1,10,2,32,6,38,12,27,9,33.3,20,7,35.0,47,16,34.0,11,7,63.6,19,9,47.4,22,46,11,42,0,200.0,130902,Canada,34,CAN,1,27,4,26,17,43,22,46,25,54.4,36,12,33.3,82,37,45.1,17,10,58.8,41,23,56.1,12,96,23,15,3,200.0
130902,Canada,34,CAN,2,27,4,26,17,43,22,46,25,54.4,36,12,33.3,82,37,45.1,17,10,58.8,41,23,56.1,12,96,23,15,3,200.0,130902,Dominican Republic,51,DOM,2,10,2,32,6,38,12,27,9,33.3,20,7,35.0,47,16,34.0,11,7,63.6,19,9,47.4,22,46,11,42,0,200.0
130904,Puerto Rico,125,PUR,1,14,1,23,17,40,27,46,18,39.1,26,4,15.4,72,22,30.6,30,17,56.7,34,14,41.2,28,65,10,16,3,200.0,130904,Venezuela,158,VEN,1,18,2,40,20,60,28,47,22,46.8,21,5,23.8,68,27,39.7,39,25,64.1,44,21,47.7,27,84,10,18,3,200.0
130904,Venezuela,158,VEN,2,18,2,40,20,60,28,47,22,46.8,21,5,23.8,68,27,39.7,39,25,64.1,44,21,47.7,27,84,10,18,3,200.0,130904,Puerto Rico,125,PUR,2,14,1,23,17,40,27,46,18,39.1,26,4,15.4,72,22,30.6,30,17,56.7,34,14,41.2,28,65,10,16,3,200.0
130910,USA,154,USA,1,30,10,39,29,68,16,73,39,53.4,26,12,46.2,99,51,51.5,16,11,68.8,60,37,61.7,16,125,12,13,5,200.0,130910,Mexico,104,MEX,1,14,2,21,9,30,16,37,12,32.4,30,5,16.7,67,17,25.4,20,14,70.0,25,9,36.0,16,53,7,23,0,200.0
130910,Mexico,104,MEX,2,14,2,21,9,30,16,37,12,32.4,30,5,16.7,67,17,25.4,20,14,70.0,25,9,36.0,16,53,7,23,0,200.0,130910,USA,154,USA,2,30,10,39,29,68,16,73,39,53.4,26,12,46.2,99,51,51.5,16,11,68.8,60,37,61.7,16,125,12,13,5,200.0
130912,Paraguay,120,PAR,1,6,4,31,17,48,19,29,8,27.6,34,4,11.8,63,12,19.1,18,10,55.6,29,8,27.6,22,38,10,29,0,200.0,130912,Argentina,14,ARG,1,17,4,36,18,54,22,40,13,32.5,32,13,40.6,72,26,36.1,30,19,63.3,38,13,34.2,19,84,23,17,4,200.0
130912,Argentina,14,ARG,2,17,4,36,18,54,22,40,13,32.5,32,13,40.6,72,26,36.1,30,19,63.3,38,13,34.2,19,84,23,17,4,200.0,130912,Paraguay,120,PAR,2,6,4,31,17,48,19,29,8,27.6,34,4,11.8,63,12,19.1,18,10,55.6,29,8,27.6,22,38,10,29,0,200.0
130905,Dominican Republic,51,DOM,1,16,8,28,23,51,15,61,26,42.6,16,6,37.5,77,32,41.6,18,10,55.6,53,23,43.4,17,80,20,27,3,200.0,130905,Puerto Rico,125,PUR,1,17,5,25,16,41,17,40,18,45.0,29,8,27.6,69,26,37.7,18,12,66.7,35,17,48.6,15,72,16,28,4,200.0
130905,Puerto Rico,125,PUR,2,17,5,25,16,41,17,40,18,45.0,29,8,27.6,69,26,37.7,18,12,66.7,35,17,48.6,15,72,16,28,4,200.0,130905,Dominican Republic,51,DOM,2,16,8,28,23,51,15,61,26,42.6,16,6,37.5,77,32,41.6,18,10,55.6,53,23,43.4,17,80,20,27,3,200.0
130906,Canada,34,CAN,1,31,4,39,22,61,16,51,28,54.9,30,12,40.0,81,40,49.4,24,12,50.0,50,28,56.0,18,104,6,12,5,200.0,130906,Venezuela,158,VEN,1,11,0,23,9,32,18,47,15,31.9,21,6,28.6,68,21,30.9,19,15,79.0,42,14,33.3,16,63,10,14,2,200.0
130906,Venezuela,158,VEN,2,11,0,23,9,32,18,47,15,31.9,21,6,28.6,68,21,30.9,19,15,79.0,42,14,33.3,16,63,10,14,2,200.0,130906,Canada,34,CAN,2,31,4,39,22,61,16,51,28,54.9,30,12,40.0,81,40,49.4,24,12,50.0,50,28,56.0,18,104,6,12,5,200.0
130907,Argentina,14,ARG,1,17,2,34,21,55,18,35,15,42.9,31,9,29.0,66,24,36.4,24,14,58.3,32,15,46.9,19,71,6,15,3,200.0,130907,Mexico,104,MEX,1,14,4,26,11,37,19,42,15,35.7,18,5,27.8,60,20,33.3,16,5,31.3,33,14,42.4,18,50,9,14,1,200.0
130907,Mexico,104,MEX,2,14,4,26,11,37,19,42,15,35.7,18,5,27.8,60,20,33.3,16,5,31.3,33,14,42.4,18,50,9,14,1,200.0,130907,Argentina,14,ARG,2,17,2,34,21,55,18,35,15,42.9,31,9,29.0,66,24,36.4,24,14,58.3,32,15,46.9,19,71,6,15,3,200.0
130911,Paraguay,120,PAR,1,9,2,22,7,29,17,28,7,25.0,35,5,14.3,63,12,19.1,16,12,75.0,23,6,26.1,31,41,13,41,0,200.0,130911,USA,154,USA,1,32,5,45,23,68,31,51,31,60.8,28,10,35.7,79,41,51.9,48,31,64.6,46,30,65.2,18,123,27,25,5,200.0
130911,USA,154,USA,2,32,5,45,23,68,31,51,31,60.8,28,10,35.7,79,41,51.9,48,31,64.6,46,30,65.2,18,123,27,25,5,200.0,130911,Paraguay,120,PAR,2,9,2,22,7,29,17,28,7,25.0,35,5,14.3,63,12,19.1,16,12,75.0,23,6,26.1,31,41,13,41,0,200.0
134672,Argentina,14,ARG,1,27,5,30,14,44,18,31,19,61.3,34,13,38.2,65,32,49.2,19,9,47.4,25,15,60.0,22,86,9,15,4,200.0,134672,Dominican Republic,51,DOM,1,8,4,23,18,41,22,42,10,23.8,13,5,38.5,55,15,27.3,31,16,51.6,34,9,26.5,18,51,6,18,2,200.0
