date,award,emoji,desc,name,team,gameId,stat_val
2026-03-11,MVP,🏆,Highest total Net Pts,Stephanie Reid,AUS,128103,25.0
2026-03-11,LVP,💀,Lowest total Net Pts,Victoria Gauna,ARG,128103,-31.0
2026-03-11,Heater,🔥,Highest Offensive Net Pts,Stephanie Reid,AUS,128103,18.1
2026-03-11,Off Night,🌑,Lowest Offensive Net Pts,Mai Yamamoto,JPN,128101,-13.1
2026-03-11,Stopper,🛡️,Highest Defensive Net Pts,Olcay Cakir,TUR,128102,14.0
2026-03-11,BBQ,🔥🥩,Lowest Defensive Net Pts,Victoria Gauna,ARG,128103,-22.4
2026-03-11,Spark Plug,⚡,Best Net Pts off bench,Stephanie Reid,AUS,128103,25.0
2026-03-11,Ice Cold,🧊,Lowest FG% (min 4 att),Agnes Torok,HUN,128101,0.0
2026-03-11,Rain Maker,🌧️,Most above-break 3s made,Kokoro Tanaka,JPN,128101,3.0
2026-03-11,Corner Pocket,📐,Most corner 3s made,Florencia Chagas,ARG,128103,2.0
2026-03-11,Juggernaut,🚂,Most shots made at rim,Dorka Juhasz,HUN,128101,8.0
2026-03-11,Surgical,🔬,Most mid-range makes,Sevgi Uzun,TUR,128102,4.0
2026-03-11,Speed Demon,💨,Most fast-break points,Florencia Chagas,ARG,128103,6.0
2026-03-11,Glass Cleaner,🪟,Most total rebounds,Kennedy Burke,TUR,128102,11.0
2026-03-11,Ball Hawk,🦅,Most steals,Mai Yamamoto,JPN,128101,3.0
2026-03-11,Cleanup Crew,🧹,Most putback points,Dorka Juhasz,HUN,128101,4.0
2026-03-11,Contact Artist,🎯,Most fouls drawn,Yvonne Turner,HUN,128101,12.0
2026-03-11,Hacker,🪓,Most personal fouls committed,Azusa Asahina,JPN,128101,4.0
2026-03-11,Facilitator,🎁,Most assists,Reka Lelik,HUN,128101,8.0
2026-03-11,Hot Potato,🥔,Most turnovers,Reka Lelik,HUN,128101,4.0
2026-03-12,MVP,🏆,Highest total Net Pts,Kayla Alexander,CAN,128104,23.0
2026-03-12,LVP,💀,Lowest total Net Pts,Yuki Miyazawa,JPN,128105,-30.0
