gameId,date,home_team,home_short,home_id,home_score,away_team,away_short,away_id,away_score,country,city,fibaZone,competition,round,group,game_link
128101,2026-03-11,Japan,JPN,85,65,Hungary,HUN,75,77,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128101-JPN-HUN
128102,2026-03-11,Canada,CAN,34,69,Türkiye,TUR,152,71,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128102-CAN-TUR
128103,2026-03-11,Argentina,ARG,14,65,Australia,AUS,16,91,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128103-ARG-AUS
128104,2026-03-12,Hungary,HUN,75,53,Canada,CAN,34,75,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128104-HUN-CAN
128105,2026-03-12,Australia,AUS,16,81,Japan,JPN,85,71,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128105-AUS-JPN
128106,2026-03-12,Türkiye,TUR,152,55,Argentina,ARG,14,59,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128106-TUR-ARG
128107,2026-03-14,Australia,AUS,16,71,Hungary,HUN,75,58,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128107-AUS-HUN
128108,2026-03-14,Argentina,ARG,14,41,Canada,CAN,34,75,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128108-ARG-CAN
128109,2026-03-14,Japan,JPN,85,67,Türkiye,TUR,152,75,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128109-JPN-TUR
128110,2026-03-15,Hungary,HUN,75,92,Argentina,ARG,14,81,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128110-HUN-ARG
128111,2026-03-15,Türkiye,TUR,152,74,Australia,AUS,16,77,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128111-TUR-AUS
128112,2026-03-15,Canada,CAN,34,62,Japan,JPN,85,66,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128112-CAN-JPN
128113,2026-03-17,Türkiye,TUR,152,74,Hungary,HUN,75,89,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128113-TUR-HUN
128114,2026-03-17,Japan,JPN,85,83,Argentina,ARG,14,39,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128114-JPN-ARG
128115,2026-03-17,Australia,AUS,16,82,Canada,CAN,34,76,Türkiye,Istanbul,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-basketball-world-cup-2026-qualifying-tournament-istanbul-turkiye/games/128115-AUS-CAN
