pId,name,uniformNumber,position,nationality,teamId,gameId
166703,Ramu Tokashiki,10.0,C,Japan,85,128101
189546,Rui Machida,13.0,PG,Japan,85,128101
324737,Azusa Asahina,14.0,PF,Japan,85,128101
259416,Norika Konno,2.0,SG,Japan,85,128101
218949,Mai Yamamoto,23.0,PG,Japan,85,128101
318293,Kokoro Tanaka,26.0,PG,Japan,85,128101
208014,Stephanie Mawuli,3.0,SF,Japan,85,128101
240137,Aika Hirashita,31.0,SF,Japan,85,128101
323304,Minami Yabu,37.0,SG,Japan,85,128101
181762,Yuki Miyazawa,52.0,PF,Japan,85,128101
259435,Nanako Todo,75.0,SG,Japan,85,128101
176909,Maki Takada,8.0,C,Japan,85,128101
196468,Nina Aho,10.0,PG,Hungary,75,128101
322804,Kinga Josepovits,11.0,C,Hungary,75,128101
211298,Agnes Torok,13.0,SF,Hungary,75,128101
219323,Dorka Juhasz,14.0,PF,Hungary,75,128101
226454,Aliz Varga,18.0,SF,Hungary,75,128101
204217,Virag Takacs-Kiss,2.0,C,Hungary,75,128101
211291,Reka Lelik,21.0,SG,Hungary,75,128101
186040,Yvonne Turner,22.0,PG,Hungary,75,128101
237943,Reka Dombai,3.0,SF,Hungary,75,128101
226441,Panka Dul,33.0,G,Hungary,75,128101
196471,Debora Dubei,4.0,SF,Hungary,75,128101
301871,Petra Toman,42.0,SF,Hungary,75,128101
217051,Shaina Pellington,1.0,PG,Canada,34,128102
235589,Merissah Russell,13.0,SG,Canada,34,128102
161433,Kayla Alexander,14.0,C,Canada,34,128102
196900,Shay Colley,2.0,G,Canada,34,128102
215167,Aaliyah Edwards,24.0,F,Canada,34,128102
250669,Faith Dut,25.0,C,Canada,34,128102
188714,Sami Hill,4.0,G,Canada,34,128102
188565,Kia Nurse,5.0,G,Canada,34,128102
203119,Bridget Carleton,6.0,SF,Canada,34,128102
217042,Niyah Becker,7.0,F,Canada,34,128102
266912,Tara Wallack,8.0,SF,Canada,34,128102
172742,Yvonne Ejim,9.0,PF,Canada,34,128102
196247,Alperi Onar,10.0,PG,Türkiye,152,128102
237757,Elif Bayram,11.0,PF,Türkiye,152,128102
219676,Zeynep Gul,12.0,C,Türkiye,152,128102
226823,Derin Erdogan,17.0,PG,Türkiye,152,128102
196252,Sevgi Uzun,2.0,SG,Türkiye,152,128102
191628,Sinem Atas,20.0,SF,Türkiye,152,128102
203508,Kennedy Burke,22.0,G,Türkiye,152,128102
237754,Melek Uzunoglu,30.0,SF,Türkiye,152,128102
155919,Esra Ural Topuz,33.0,C,Türkiye,152,128102
168020,Olcay Cakir,4.0,PG,Türkiye,152,128102
226825,Goksen Fitik,6.0,SF,Türkiye,152,128102
168017,Ayse Cora Yamaner,8.0,SG,Türkiye,152,128102
153423,Agostina Burani,10.0,C,Argentina,14,128103
163689,Melisa Gretter,11.0,PG,Argentina,14,128103
221605,Candela Gentinetta,13.0,SF,Argentina,14,128103
214723,Florencia Chagas,14.0,SG,Argentina,14,128103
277271,Delfina Saravia,19.0,SG,Argentina,14,128103
159332,Macarena D'urso,20.0,PG,Argentina,14,128103
