gameId,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,teamId,nationality,uniformNumber,name,10+ ppg,FGP,mins,secs,MP
128101,259435,-6,False,2,0,3,1,2,2,1.0,3,1,0.333,5,3,0,0,,0,2,7,3,0,1,9,2,2,100.0,15:31,85,Japan,75.0,Nanako Todo,0,0.6,15,31,15.5
128101,181762,-2,False,4,1,7,0,1,0,0.0,5,1,0.2,6,1,0,0,,1,3,3,8,2,1,12,1,0,0.0,24:28,85,Japan,52.0,Yuki Miyazawa,0,0.167,24,28,24.5
128101,323304,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,3:37,85,Japan,37.0,Minami Yabu,0,,3,37,3.6
128101,240137,-2,True,1,0,0,1,5,3,0.6,6,2,0.333,11,5,0,0,,0,0,12,0,0,0,7,3,2,66.7,20:41,85,Japan,31.0,Aika Hirashita,1,0.455,20,41,20.7
128101,318293,6,True,2,0,0,2,4,0,0.0,9,4,0.444,13,4,2,1,0.5,2,2,13,2,2,1,8,2,0,0.0,17:17,85,Japan,26.0,Kokoro Tanaka,1,0.308,17,17,17.3
128101,218949,-17,False,4,0,2,2,5,3,0.6,7,3,0.429,12,6,0,0,,0,2,15,2,3,3,15,4,3,75.0,22:41,85,Japan,23.0,Mai Yamamoto,1,0.5,22,41,22.7
128101,324737,-3,False,2,0,2,0,1,1,1.0,1,1,1.0,2,2,0,0,,0,4,5,2,0,1,8,1,1,100.0,12:25,85,Japan,14.0,Azusa Asahina,0,1.0,12,25,12.4
128101,189546,-7,True,5,0,4,4,0,0,,1,1,1.0,1,1,0,0,,0,4,3,4,0,2,10,0,0,0.0,19:39,85,Japan,13.0,Rui Machida,0,1.0,19,39,19.6
128101,166703,-3,True,0,0,0,3,3,1,0.333,1,0,0.0,4,1,0,0,,0,3,2,0,0,1,-2,2,1,50.0,18:31,85,Japan,10.0,Ramu Tokashiki,0,0.25,18,31,18.5
128101,176909,-13,True,1,0,1,2,4,1,0.25,2,0,0.0,6,1,0,0,,1,4,2,2,2,2,0,2,0,0.0,23:44,85,Japan,8.0,Maki Takada,0,0.167,23,44,23.7
128101,208014,-6,False,0,0,0,2,1,0,0.0,0,0,,1,0,0,0,,0,0,0,0,0,2,-3,0,0,0.0,9:11,85,Japan,3.0,Stephanie Mawuli,0,0.0,9,11,9.2
128101,259416,-7,False,1,0,0,0,1,0,0.0,2,1,0.5,3,1,0,0,,0,1,3,0,0,0,2,1,0,0.0,12:15,85,Japan,2.0,Norika Konno,0,0.333,12,15,12.2
128101,301871,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,75,Hungary,42.0,Petra Toman,0,,0,0,0.0
128101,226441,-2,False,1,0,0,0,0,0,,2,0,0.0,2,0,0,0,,1,1,0,1,1,0,1,0,0,0.0,9:56,75,Hungary,33.0,Panka Dul,0,0.0,9,56,9.9
128101,186040,11,False,3,1,6,12,5,3,0.6,3,1,0.333,8,4,10,8,0.8,0,1,17,6,1,2,20,4,3,75.0,22:54,75,Hungary,22.0,Yvonne Turner,1,0.5,22,54,22.9
128101,211291,15,True,8,0,4,2,4,2,0.5,5,2,0.4,9,4,0,0,,0,3,10,4,0,4,13,3,1,33.3,28:7,75,Hungary,21.0,Reka Lelik,1,0.444,28,7,28.1
128101,226454,8,False,0,0,4,0,4,1,0.25,0,0,,4,1,0,0,,2,4,2,6,0,0,5,1,0,0.0,17:36,75,Hungary,18.0,Aliz Varga,0,0.25,17,36,17.6
