date,gameId,name,team,nationality,PTS,REB,OR,DR,AS,ST,BS,PF,FD,FTM,FGA,FGM,FG3M,TO,MP,PM,EFF,off_net,def_net,stocks,starter,WL,WL_raw,corner3m,abovebk3m,rim_makes,midrange_makes,fb_pts,putback_pts
2026-03-11,128101,Nanako Todo,JPN,Japan,7,3,0,3,2,0,0,2,1,0,5,3,1,1,15.5,-6,9,-4.6,-1.4,0,False,-12,-12,1,0,1,0,0,0
2026-03-11,128101,Yuki Miyazawa,JPN,Japan,3,8,1,7,4,2,1,3,0,0,6,1,1,1,24.5,-2,12,-1.5,-0.5,3,False,-12,-12,1,0,0,0,3,0
2026-03-11,128101,Minami Yabu,JPN,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0.0,0.0,0,False,-12,-12,0,0,0,0,0,0
2026-03-11,128101,Aika Hirashita,JPN,Japan,12,0,0,0,1,0,0,0,1,0,11,5,2,0,20.7,-2,7,-1.5,-0.5,0,True,-12,-12,1,1,1,1,4,0
2026-03-11,128101,Kokoro Tanaka,JPN,Japan,13,2,2,0,2,2,0,2,2,1,13,4,4,1,17.3,6,8,4.6,1.4,2,True,-12,-12,1,3,0,0,0,0
2026-03-11,128101,Mai Yamamoto,JPN,Japan,15,2,0,2,4,3,0,2,2,0,12,6,3,3,22.7,-17,15,-13.1,-3.9,3,False,-12,-12,1,2,2,0,4,0
2026-03-11,128101,Azusa Asahina,JPN,Japan,5,2,0,2,2,0,0,4,0,0,2,2,1,1,12.4,-3,8,-2.3,-0.7,0,False,-12,-12,1,0,0,0,0,0
2026-03-11,128101,Rui Machida,JPN,Japan,3,4,0,4,5,0,0,4,4,0,1,1,1,2,19.6,-7,10,-5.4,-1.6,0,True,-12,-12,1,0,0,0,0,0
2026-03-11,128101,Ramu Tokashiki,JPN,Japan,2,0,0,0,0,0,0,3,3,0,4,1,0,1,18.5,-3,-2,-2.3,-0.7,0,True,-12,-12,0,0,0,0,0,0
2026-03-11,128101,Maki Takada,JPN,Japan,2,2,1,1,1,2,0,4,2,0,6,1,0,2,23.7,-13,0,-10.0,-3.0,2,True,-12,-12,0,0,0,1,0,0
2026-03-11,128101,Stephanie Mawuli,JPN,Japan,0,0,0,0,0,0,0,0,2,0,1,0,0,2,9.2,-6,-3,-4.6,-1.4,0,False,-12,-12,0,0,0,0,0,0
2026-03-11,128101,Norika Konno,JPN,Japan,3,0,0,0,1,0,0,1,0,0,3,1,1,0,12.2,-7,2,-5.4,-1.6,0,False,-12,-12,1,0,0,0,0,0
2026-03-11,128101,Panka Dul,HUN,Hungary,0,1,1,0,1,1,0,1,0,0,2,0,0,0,9.9,-2,1,-0.5,-1.5,1,False,+12,12,0,0,0,0,0,0
2026-03-11,128101,Yvonne Turner,HUN,Hungary,17,6,0,6,3,1,1,1,12,8,8,4,1,2,22.9,11,20,2.5,8.5,2,False,+12,12,0,1,1,0,0,0
2026-03-11,128101,Reka Lelik,HUN,Hungary,10,4,0,4,8,0,0,3,2,0,9,4,2,4,28.1,15,13,3.4,11.6,0,True,+12,12,0,2,0,1,0,0
2026-03-11,128101,Aliz Varga,HUN,Hungary,2,6,2,4,0,0,0,4,0,0,4,1,0,0,17.6,8,5,1.8,6.2,0,False,+12,12,0,0,0,1,0,0
