gameId,date,fibaZone,competition,round,team,team_short,Win,Loss,Differential
128101,2026-03-11,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Japan,JPN,0,1,-12
128101,2026-03-11,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Hungary,HUN,1,0,12
128102,2026-03-11,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Canada,CAN,0,1,-2
128102,2026-03-11,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Türkiye,TUR,1,0,2
128103,2026-03-11,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Australia,AUS,1,0,26
128103,2026-03-11,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Argentina,ARG,0,1,-26
128104,2026-03-12,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Hungary,HUN,0,1,-22
128104,2026-03-12,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Canada,CAN,1,0,22
128105,2026-03-12,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Japan,JPN,0,1,-10
128105,2026-03-12,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Australia,AUS,1,0,10
128106,2026-03-12,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Türkiye,TUR,0,1,-4
128106,2026-03-12,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Argentina,ARG,1,0,4
128107,2026-03-14,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Hungary,HUN,0,1,-13
128107,2026-03-14,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Australia,AUS,1,0,13
128108,2026-03-14,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Argentina,ARG,0,1,-34
128108,2026-03-14,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Canada,CAN,1,0,34
128109,2026-03-14,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Japan,JPN,0,1,-8
128109,2026-03-14,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Türkiye,TUR,1,0,8
128110,2026-03-15,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Argentina,ARG,0,1,-11
128110,2026-03-15,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Hungary,HUN,1,0,11
128111,2026-03-15,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Türkiye,TUR,0,1,-3
128111,2026-03-15,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Australia,AUS,1,0,3
128112,2026-03-15,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Japan,JPN,1,0,4
128112,2026-03-15,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Canada,CAN,0,1,-4
128113,2026-03-17,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Türkiye,TUR,0,1,-15
128113,2026-03-17,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Hungary,HUN,1,0,15
128114,2026-03-17,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Argentina,ARG,0,1,-44
128114,2026-03-17,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Japan,JPN,1,0,44
128115,2026-03-17,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Australia,AUS,1,0,6
128115,2026-03-17,World,FIBA Women's Basketball World Cup 2026 Qualifying Tournament Türkiye,Group Phase,Canada,CAN,0,1,-6
