gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
128101,Japan,85,JPN,65,74.2264864864865,87.6,3,103.7,50.0,22.9,61.1,88.0
128101,Hungary,75,HUN,77,74.2264864864865,103.7,3,87.6,49.2,21.6,83.8,86.7
128102,Canada,34,CAN,69,72.04938333333334,95.8,4,98.5,39.1,15.3,63.9,82.6
128102,Türkiye,152,TUR,71,72.04938333333334,98.5,3,95.8,47.5,19.4,68.0,60.7
128103,Argentina,14,ARG,65,72.20976013234078,90.0,2,126.0,44.9,20.8,67.7,81.0
128103,Australia,16,AUS,91,72.20976013234078,126.0,3,90.0,60.7,20.8,74.4,83.9
128104,Hungary,75,HUN,53,74.7119512195122,70.9,2,100.4,35.2,25.4,65.9,84.2
128104,Canada,34,CAN,75,74.7119512195122,100.4,3,70.9,43.2,17.4,76.2,50.0
128105,Australia,16,AUS,81,72.92999999999999,111.1,4,97.4,53.6,20.6,85.4,68.8
128105,Japan,85,JPN,71,72.92999999999999,97.4,3,111.1,46.9,13.7,56.8,83.3
128106,Türkiye,152,TUR,55,62.95815018315018,87.4,3,93.7,39.2,17.5,61.5,57.9
128106,Argentina,14,ARG,59,62.95815018315018,93.7,2,87.4,38.6,19.1,76.2,73.7
128107,Australia,16,AUS,71,71.62635135135135,99.1,4,81.0,40.2,19.5,78.4,62.5
128107,Hungary,75,HUN,58,71.62635135135135,81.0,1,99.1,42.5,25.1,64.3,55.6
128108,Argentina,14,ARG,41,67.81255102040816,60.5,1,110.6,29.5,20.6,42.4,66.7
128108,Canada,34,CAN,75,67.81255102040816,110.6,2,60.5,50.0,29.5,79.6,69.2
128109,Japan,85,JPN,67,66.47,100.8,2,112.8,51.6,16.5,70.6,69.2
128109,Türkiye,152,TUR,75,66.47,112.8,2,100.8,51.6,13.5,77.8,41.4
128110,Hungary,75,HUN,92,79.15488191632929,116.2,3,102.3,52.2,19.0,86.8,61.3
128110,Argentina,14,ARG,81,79.15488191632929,102.3,2,116.2,50.0,16.4,59.0,55.6
128111,Türkiye,152,TUR,74,74.79529411764706,98.9,4,102.9,49.2,22.7,79.4,59.3
128111,Australia,16,AUS,77,74.79529411764706,102.9,4,98.9,50.9,20.1,75.0,80.0
128112,Canada,34,CAN,62,63.334999999999994,97.9,3,104.2,37.7,25.3,68.3,75.0
128112,Japan,85,JPN,66,63.334999999999994,104.2,3,97.9,44.0,12.6,42.2,53.8
128113,Türkiye,152,TUR,74,67.605,109.5,4,131.6,54.7,20.7,65.6,64.0
128113,Hungary,75,HUN,89,67.605,131.6,4,109.5,58.2,10.4,78.6,71.4
128114,Japan,85,JPN,83,61.580425000000005,134.8,3,63.3,64.6,19.5,62.5,87.5
128114,Argentina,14,ARG,39,61.580425000000005,63.3,0,134.8,30.8,32.5,72.0,76.9
128115,Australia,16,AUS,82,73.92714473684211,110.9,3,102.8,54.6,20.3,72.5,72.4
128115,Canada,34,CAN,76,73.92714473684211,102.8,3,110.9,48.6,12.2,68.4,57.6
