gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
128101,Japan,85,JPN,1,22,1,22,6,28,17,27,11,40.7,37,14,37.8,64,25,39.1,2,1,50.0,18,9,50.0,25,65,9,17,3,200.0,128101,Hungary,75,HUN,1,26,4,31,14,45,25,46,25,54.4,20,5,25.0,66,30,45.5,16,12,75.0,33,19,57.6,17,77,9,16,3,200.0
128101,Hungary,75,HUN,2,26,4,31,14,45,25,46,25,54.4,20,5,25.0,66,30,45.5,16,12,75.0,33,19,57.6,17,77,9,16,3,200.0,128101,Japan,85,JPN,2,22,1,22,6,28,17,27,11,40.7,37,14,37.8,64,25,39.1,2,1,50.0,18,9,50.0,25,65,9,17,3,200.0
128102,Canada,34,CAN,1,19,4,23,16,39,18,47,15,31.9,22,8,36.4,69,23,33.3,23,15,65.2,37,13,35.1,19,69,6,11,4,200.0,128102,Türkiye,152,TUR,1,17,6,34,13,47,19,44,26,59.1,17,2,11.8,61,28,45.9,21,13,61.9,29,18,62.1,18,71,6,14,3,200.0
128102,Türkiye,152,TUR,2,17,6,34,13,47,19,44,26,59.1,17,2,11.8,61,28,45.9,21,13,61.9,29,18,62.1,18,71,6,14,3,200.0,128102,Canada,34,CAN,2,19,4,23,16,39,18,47,15,31.9,22,8,36.4,69,23,33.3,23,15,65.2,37,13,35.1,19,69,6,11,4,200.0
128103,Argentina,14,ARG,1,17,0,21,10,31,19,27,10,37.0,32,11,34.4,59,21,35.6,16,12,75.0,15,6,40.0,24,65,12,15,2,200.0,128103,Australia,16,AUS,1,26,2,29,10,39,24,27,19,70.4,34,12,35.3,61,31,50.8,22,17,77.3,26,18,69.2,19,91,7,15,3,200.0
128103,Australia,16,AUS,2,26,2,29,10,39,24,27,19,70.4,34,12,35.3,61,31,50.8,22,17,77.3,26,18,69.2,19,91,7,15,3,200.0,128103,Argentina,14,ARG,2,17,0,21,10,31,19,27,10,37.0,32,11,34.4,59,21,35.6,16,12,75.0,15,6,40.0,24,65,12,15,2,200.0
128104,Hungary,75,HUN,1,16,2,27,10,37,21,40,14,35.0,21,5,23.8,61,19,31.2,12,10,83.3,24,9,37.5,17,53,6,19,2,200.0,128104,Canada,34,CAN,1,15,1,32,14,46,17,50,26,52.0,24,4,16.7,74,30,40.5,11,11,100.0,35,19,54.3,21,75,13,13,3,200.0
128104,Canada,34,CAN,2,15,1,32,14,46,17,50,26,52.0,24,4,16.7,74,30,40.5,11,11,100.0,35,19,54.3,21,75,13,13,3,200.0,128104,Hungary,75,HUN,2,16,2,27,10,37,21,40,14,35.0,21,5,23.8,61,19,31.2,12,10,83.3,24,9,37.5,17,53,6,19,2,200.0
128105,Australia,16,AUS,1,22,8,35,16,51,19,42,22,52.4,27,10,37.0,69,32,46.4,14,7,50.0,41,22,53.7,17,81,5,15,4,200.0,128105,Japan,85,JPN,1,20,1,21,6,27,17,35,11,31.4,30,13,43.3,65,24,36.9,12,10,83.3,25,9,36.0,19,71,6,10,3,200.0
128105,Japan,85,JPN,2,20,1,21,6,27,17,35,11,31.4,30,13,43.3,65,24,36.9,12,10,83.3,25,9,36.0,19,71,6,10,3,200.0,128105,Australia,16,AUS,2,22,8,35,16,51,19,42,22,52.4,27,10,37.0,69,32,46.4,14,7,50.0,41,22,53.7,17,81,5,15,4,200.0
