date,award,emoji,desc,name,team,gameId,stat_val
2025-06-28,MVP,🏆,Highest total Net Pts,Shayeann Day-Wilson,CAN,121424,39.0
2025-06-28,LVP,💀,Lowest total Net Pts,Hillary Martínez,ESA,121424,-52.0
2025-06-28,Heater,🔥,Highest Offensive Net Pts,Shayeann Day-Wilson,CAN,121424,19.1
2025-06-28,Off Night,🌑,Lowest Offensive Net Pts,Hillary Martínez,ESA,121424,-26.5
2025-06-28,Stopper,🛡️,Highest Defensive Net Pts,Kamilla Cardoso,BRA,121423,24.6
2025-06-28,BBQ,🔥🥩,Lowest Defensive Net Pts,Hillary Martínez,ESA,121424,-25.5
2025-06-28,Spark Plug,⚡,Best Net Pts off bench,Olivia Miles,USA,121434,36.0
2025-06-28,Ice Cold,🧊,Lowest FG% (min 4 att),Julieta Mungo,ARG,121423,0.0
2025-06-28,Rain Maker,🌧️,Most above-break 3s made,Damiris Dantas,BRA,121423,3.0
2025-06-28,Corner Pocket,📐,Most corner 3s made,Emily Tevez,ESA,121424,2.0
2025-06-28,Juggernaut,🚂,Most shots made at rim,Raegan Beers,USA,121434,8.0
2025-06-28,Surgical,🔬,Most mid-range makes,Daniela Gonzalez,COL,121433,3.0
2025-06-28,Speed Demon,💨,Most fast-break points,Hannah Hidalgo,USA,121434,6.0
2025-06-28,Glass Cleaner,🪟,Most total rebounds,Yvonne Ejim,CAN,121424,12.0
2025-06-28,Ball Hawk,🦅,Most steals,Flaujae Johnson,USA,121434,4.0
2025-06-28,Cleanup Crew,🧹,Most putback points,Vitoria Marcelino,BRA,121423,8.0
2025-06-28,Contact Artist,🎯,Most fouls drawn,Manuela Rios,COL,121433,8.0
2025-06-28,Hacker,🪓,Most personal fouls committed,Amaiquen Siciliano,ARG,121423,4.0
2025-06-28,Facilitator,🎁,Most assists,Shay Colley,CAN,121424,8.0
2025-06-28,Hot Potato,🥔,Most turnovers,Catalina Perez,CHI,121434,7.0
2025-06-29,MVP,🏆,Highest total Net Pts,Sami Hill,CAN,121426,29.0
2025-06-29,LVP,💀,Lowest total Net Pts,Valentina Lopez,COL,121436,-22.0
2025-06-29,Heater,🔥,Highest Offensive Net Pts,Hazel Ramirez,MEX,121435,6.7
2025-06-29,Off Night,🌑,Lowest Offensive Net Pts,Agostina Burani,ARG,121426,-17.6
2025-06-29,Stopper,🛡️,Highest Defensive Net Pts,Sami Hill,CAN,121426,28.4
2025-06-29,BBQ,🔥🥩,Lowest Defensive Net Pts,Valentina Ojeda,CHI,121435,-6.0
2025-06-29,Spark Plug,⚡,Best Net Pts off bench,Grace Van Slooten,USA,121436,26.0
2025-06-29,Ice Cold,🧊,Lowest FG% (min 4 att),Yenifer Jimenez,DOM,121425,0.0
2025-06-29,Rain Maker,🌧️,Most above-break 3s made,Jovanka Ljubetic,CHI,121435,6.0
2025-06-29,Corner Pocket,📐,Most corner 3s made,Mikayla Blakes,USA,121436,2.0
2025-06-29,Juggernaut,🚂,Most shots made at rim,Hellary De Los Santos,DOM,121425,5.0
2025-06-29,Surgical,🔬,Most mid-range makes,Shayeann Day-Wilson,CAN,121426,3.0
2025-06-29,Speed Demon,💨,Most fast-break points,Grace Van Slooten,USA,121436,6.0
2025-06-29,Glass Cleaner,🪟,Most total rebounds,Kimberly Villalobos,ESA,121425,13.0
2025-06-29,Ball Hawk,🦅,Most steals,Hillary Martínez,ESA,121425,4.0
2025-06-29,Cleanup Crew,🧹,Most putback points,Cesarina Capellan,DOM,121425,3.0
2025-06-29,Contact Artist,🎯,Most fouls drawn,Hillary Martínez,ESA,121425,7.0
2025-06-29,Hacker,🪓,Most personal fouls committed,Silvia Vega,ESA,121425,5.0
2025-06-29,Facilitator,🎁,Most assists,Olivia Miles,USA,121436,8.0
