gameId,date,home_team,home_short,home_id,home_score,away_team,away_short,away_id,away_score,country,city,fibaZone,competition,round,group,game_link
121423,2025-06-28,Argentina,ARG,14,50,Brazil,BRA,27,71,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121423-ARG-BRA
121424,2025-06-28,El Salvador,ESA,54,34,Canada,CAN,34,100,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121424-ESA-CAN
121433,2025-06-28,Colombia,COL,40,65,Puerto Rico,PUR,125,68,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121433-COL-PUR
121434,2025-06-28,Chile,CHI,38,47,USA,USA,154,108,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121434-CHI-USA
121425,2025-06-29,Dominican Republic,DOM,51,61,El Salvador,ESA,54,59,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121425-DOM-ESA
121426,2025-06-29,Canada,CAN,34,71,Argentina,ARG,14,48,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121426-CAN-ARG
121435,2025-06-29,Mexico,MEX,104,76,Chile,CHI,38,59,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121435-MEX-CHI
121436,2025-06-29,USA,USA,154,80,Colombia,COL,40,43,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121436-USA-COL
121427,2025-06-30,Argentina,ARG,14,67,Dominican Republic,DOM,51,51,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121427-ARG-DOM
121428,2025-06-30,Brazil,BRA,27,74,Canada,CAN,34,65,Chile,Santiago,Americas,FIBA Women's AmeriCup,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-americup-2025/games/121428-BRA-CAN
