pId,name,uniformNumber,position,nationality,teamId,gameId
153423,Agostina Burani,10.0,C,Argentina,14,121423
163689,Melisa Gretter,11.0,PG,Argentina,14,121423
221605,Candela Gentinetta,13.0,SF,Argentina,14,121423
214723,Florencia Chagas,14.0,SG,Argentina,14,121423
277271,Delfina Saravia,19.0,SG,Argentina,14,121423
159332,Macarena D'urso,20.0,PG,Argentina,14,121423
221606,Victoria Gauna,23.0,PF,Argentina,14,121423
200337,Julieta Mungo,3.0,C,Argentina,14,121423
214715,Amaiquen Siciliano,4.0,PG,Argentina,14,121423
176450,Flor Martinez,5.0,SG,Argentina,14,121423
170619,Diana Cabrera,7.0,C,Argentina,14,121423
153434,Andrea Boquete,8.0,SF,Argentina,14,121423
215036,Kamilla Cardoso,10.0,C,Brazil,27,121423
215026,Emanuely De Oliveira,11.0,SF,Brazil,27,121423
172947,Damiris Dantas,12.0,PF,Brazil,27,121423
175283,Cacá Martins,17.0,G,Brazil,27,121423
200399,Aline Moura,18.0,PF,Brazil,27,121423
259742,Manu Alves,21.0,C,Brazil,27,121423
186510,Vitoria Marcelino,22.0,F,Brazil,27,121423
178708,Alana Gonçalo,24.0,PG,Brazil,27,121423
193492,Thayna Silva,26.0,F,Brazil,27,121423
296041,Catarina Ferreira,30.0,SF,Brazil,27,121423
368432,Ayla McDowell,5.0,SF,Brazil,27,121423
392716,Bella Nascimento,8.0,G,Brazil,27,121423
293205,Emily Tevez,10.0,F,El Salvador,54,121424
209053,Elisa Domínguez,11.0,F,El Salvador,54,121424
181560,Adriana Rivas,14.0,PG,El Salvador,54,121424
209055,Fátima Avilés,16.0,PG,El Salvador,54,121424
223293,Kimberly Villalobos,22.0,C,El Salvador,54,121424
266073,Gabriela Alfaro,24.0,PG,El Salvador,54,121424
188447,Hillary Martínez,4.0,SG,El Salvador,54,121424
239401,Brandi Harvey-Carr,44.0,C,El Salvador,54,121424
276288,Ana Quijano,5.0,SF,El Salvador,54,121424
200045,Liliana Alvarado,7.0,F,El Salvador,54,121424
294819,Gabriela Escobar,8.0,SF,El Salvador,54,121424
250001,Silvia Vega,9.0,C,El Salvador,54,121424
188566,Emily Potter,10.0,C,Canada,34,121424
320676,Syla Swords,12.0,G,Canada,34,121424
235589,Merissah Russell,13.0,SG,Canada,34,121424
161433,Kayla Alexander,14.0,C,Canada,34,121424
323517,Phillipina Kyei,15.0,C,Canada,34,121424
196900,Shay Colley,2.0,G,Canada,34,121424
297698,Delaney Gibb,3.0,G,Canada,34,121424
298515,Shayeann Day-Wilson,30.0,PG,Canada,34,121424
188714,Sami Hill,4.0,G,Canada,34,121424
217042,Niyah Becker,7.0,F,Canada,34,121424
266912,Tara Wallack,8.0,SF,Canada,34,121424
172742,Yvonne Ejim,9.0,PF,Canada,34,121424
314520,Marta Moscarella,0.0,SG,Colombia,40,121433
160664,Mabel Martínez,10.0,F,Colombia,40,121433
163900,Jenifer Muñoz,12.0,SG,Colombia,40,121433
189132,Marlyn Vente,14.0,C,Colombia,40,121433
230237,Daniela Gonzalez,19.0,PF,Colombia,40,121433
214983,Valentina Lopez,21.0,C,Colombia,40,121433
189134,Esperanza Delgado,22.0,SG,Colombia,40,121433
278174,Daihana Murillo,5.0,F,Colombia,40,121433
236912,Yuliany Paz,6.0,C,Colombia,40,121433
214994,Mayra Caicedo,7.0,PG,Colombia,40,121433
251137,Carolina Lopez,8.0,PG,Colombia,40,121433
193445,Manuela Rios,9.0,PG,Colombia,40,121433
181909,Tayra Melendez,1.0,F,Puerto Rico,125,121433
188776,Sofia Roma,11.0,C,Puerto Rico,125,121433
295611,Ahlana Smith,12.0,G,Puerto Rico,125,121433
393526,Angelica Velez,15.0,PG,Puerto Rico,125,121433
291149,Brianna Jones,2.0,SG,Puerto Rico,125,121433
314595,Mya Hollingshed,21.0,PF,Puerto Rico,125,121433
236841,Arella Guirantes,22.0,G,Puerto Rico,125,121433
323904,Trinity San Antonio,23.0,PG,Puerto Rico,125,121433
295609,Denise Solis,25.0,F,Puerto Rico,125,121433
225517,India Pagan,33.0,C,Puerto Rico,125,121433
147107,Pamela Rosado,5.0,PG,Puerto Rico,125,121433
289878,Jacqueline Benitez,55.0,G,Puerto Rico,125,121433
259930,Damaris Alarcon,1.0,PG,Chile,38,121434
178361,Barbara Cousiño,10.0,PF,Chile,38,121434
260056,Valentina Monzo,11.0,C,Chile,38,121434
223051,Constanza Cardenas,12.0,C,Chile,38,121434
221910,Javiera Campos,2.0,PG,Chile,38,121434
235811,Jovanka Ljubetic,22.0,G,Chile,38,121434
186543,Catalina Abuyeres,25.0,PF,Chile,38,121434
230548,Valentina Ojeda,3.0,PF,Chile,38,121434
330308,Amanda Guineo,4.0,G,Chile,38,121434
251604,Catalina Perez,7.0,SF,Chile,38,121434
277480,Antonia Andaur,8.0,SF,Chile,38,121434
260050,Catalina Ramirez,9.0,PG,Chile,38,121434
394219,Hannah Stuelke,10.0,F,USA,154,121434
320127,Kennedy Smith,11.0,F,USA,154,121434
298813,Joyce Edwards,12.0,F,USA,154,121434
392661,Raegan Beers,13.0,C,USA,154,121434
318117,Grace Van Slooten,14.0,F,USA,154,121434
318244,Audi Crooks,15.0,C,USA,154,121434
392454,Flaujae Johnson,4.0,G,USA,154,121434
268469,Olivia Miles,5.0,G,USA,154,121434
319297,Hannah Hidalgo,6.0,G,USA,154,121434
393527,Mikayla Blakes,7.0,G,USA,154,121434
298282,Madison Booker,8.0,F,USA,154,121434
392664,Gianna Kneepkens,9.0,G,USA,154,121434
269964,Glorivel Rodriguez,1.0,PG,Dominican Republic,51,121425
239986,Giocelis Reynoso,13.0,C,Dominican Republic,51,121425
