gameId,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,teamId,nationality,uniformNumber,name,10+ ppg,FGP,mins,secs,MP
121423,163689,-20,True,4,0,5,3,4,2,0.5,7,1,0.143,11,3,4,4,1.0,2,1,11,7,3,0,17,1,1,100.0,26:45,14,Argentina,11.0,Melisa Gretter,1,0.273,26,45,26.8
121423,153423,-15,True,0,0,3,2,2,0,0.0,4,2,0.5,6,2,2,2,1.0,2,1,8,5,1,1,9,1,0,0.0,27:11,14,Argentina,10.0,Agostina Burani,0,0.333,27,11,27.2
121423,153434,-1,False,0,0,2,0,1,1,1.0,8,2,0.25,9,3,0,0,,1,0,8,3,0,0,5,0,0,0.0,24:5,14,Argentina,8.0,Andrea Boquete,0,0.333,24,5,24.1
121423,170619,-1,False,1,0,0,3,5,1,0.2,0,0,,5,1,0,0,,5,2,2,5,0,1,3,5,1,20.0,16:58,14,Argentina,7.0,Diana Cabrera,0,0.2,16,58,17.0
121423,176450,-7,False,0,0,1,0,0,0,,0,0,,0,0,0,0,,0,2,0,1,1,0,2,0,0,0.0,10:4,14,Argentina,5.0,Flor Martinez,0,,10,4,10.1
121423,214715,-8,False,2,0,2,3,4,2,0.5,8,2,0.25,12,4,2,2,1.0,0,4,12,2,2,2,8,4,2,50.0,15:57,14,Argentina,4.0,Amaiquen Siciliano,1,0.333,15,57,16.0
121423,200337,-6,False,0,0,2,3,1,0,0.0,4,0,0.0,5,0,2,0,0.0,0,2,0,2,2,1,-4,0,0,0.0,14:0,14,Argentina,3.0,Julieta Mungo,0,0.0,14,0,14.0
121423,221605,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,14,Argentina,13.0,Candela Gentinetta,0,,0,0,0.0
121423,214723,-16,True,0,0,0,0,4,1,0.25,5,0,0.0,9,1,0,0,,0,1,2,0,0,1,-7,4,1,25.0,17:50,14,Argentina,14.0,Florencia Chagas,0,0.111,17,50,17.8
121423,277271,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,14,Argentina,19.0,Delfina Saravia,0,,0,0,0.0
121423,159332,-13,True,2,0,2,0,0,0,,3,0,0.0,3,0,0,0,,0,2,0,2,1,3,-1,0,0,0.0,22:21,14,Argentina,20.0,Macarena D'urso,0,0.0,22,21,22.4
121423,221606,-18,True,1,0,1,3,2,0,0.0,6,2,0.333,8,2,2,1,0.5,2,3,7,3,0,1,3,2,0,0.0,24:49,14,Argentina,23.0,Victoria Gauna,0,0.25,24,49,24.8
121423,368432,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,27,Brazil,5.0,Ayla McDowell,0,,0,0,0.0
121423,392716,11,True,4,0,5,2,1,1,1.0,4,1,0.25,5,2,2,2,1.0,0,0,7,5,1,1,13,1,1,100.0,17:30,27,Brazil,8.0,Bella Nascimento,0,0.4,17,30,17.5
121423,215036,28,True,4,2,9,4,5,4,0.8,0,0,,5,4,2,0,0.0,2,3,8,11,0,3,19,5,4,80.0,33:59,27,Brazil,10.0,Kamilla Cardoso,0,0.8,33,59,34.0
121423,215026,6,False,1,0,5,1,4,1,0.25,2,0,0.0,6,1,2,2,1.0,1,3,4,6,0,1,5,2,1,50.0,19:52,27,Brazil,11.0,Emanuely De Oliveira,0,0.167,19,52,19.9
121423,172947,22,True,0,0,6,6,12,6,0.5,7,3,0.429,19,9,5,3,0.6,1,1,24,7,0,3,16,6,4,66.7,33:24,27,Brazil,12.0,Damiris Dantas,1,0.474,33,24,33.4
121423,175283,-8,False,2,0,2,1,0,0,,3,1,0.333,3,1,0,0,,1,1,3,3,0,3,3,0,0,0.0,15:8,27,Brazil,17.0,Cacá Martins,0,0.333,15,8,15.1
121423,200399,-8,False,1,1,3,1,2,1,0.5,2,0,0.0,4,1,0,0,,1,1,2,4,1,0,6,2,1,50.0,12:37,27,Brazil,18.0,Aline Moura,0,0.25,12,37,12.6
121423,259742,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,27,Brazil,21.0,Manu Alves,0,,0,0,0.0
121423,186510,19,True,0,1,1,1,7,5,0.714,3,1,0.333,10,6,0,0,,5,1,13,6,0,3,13,5,4,80.0,30:4,27,Brazil,22.0,Vitoria Marcelino,1,0.6,30,4,30.1
121423,178708,27,True,2,0,5,0,5,2,0.4,4,2,0.5,9,4,0,0,,0,4,10,5,0,3,9,3,1,33.3,24:52,27,Brazil,24.0,Alana Gonçalo,1,0.444,24,52,24.9
121423,193492,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,27,Brazil,26.0,Thayna Silva,0,,0,0,0.0
121423,296041,8,False,3,0,2,1,1,0,0.0,1,0,0.0,2,0,0,0,,2,4,0,4,0,0,5,0,0,0.0,12:34,27,Brazil,30.0,Catarina Ferreira,0,0.0,12,34,12.6
121424,200045,-19,False,0,0,0,0,3,0,0.0,0,0,,3,0,0,0,,0,2,0,0,0,0,-3,3,0,0.0,11:25,54,El Salvador,7.0,Liliana Alvarado,0,0.0,11,25,11.4
121424,276288,-15,False,0,0,0,0,0,0,,1,0,0.0,1,0,0,0,,0,0,0,0,0,0,-1,0,0,0.0,5:40,54,El Salvador,5.0,Ana Quijano,0,0.0,5,40,5.7
121424,188447,-52,True,1,0,1,2,10,1,0.1,4,1,0.25,14,2,0,0,,2,3,5,3,1,2,-4,7,1,14.3,32:49,54,El Salvador,4.0,Hillary Martínez,0,0.143,32,49,32.8
121424,294819,-25,False,1,0,1,0,10,4,0.4,0,0,,10,4,0,0,,0,2,8,1,0,3,1,2,2,100.0,19:23,54,El Salvador,8.0,Gabriela Escobar,0,0.4,19,23,19.4
121424,250001,-20,False,0,0,0,0,4,1,0.25,0,0,,4,1,0,0,,2,3,2,2,0,0,1,2,1,50.0,10:47,54,El Salvador,9.0,Silvia Vega,0,0.25,10,47,10.8
121424,293205,-44,True,1,0,1,2,2,0,0.0,5,2,0.4,7,2,0,0,,0,0,6,1,1,1,3,0,0,0.0,28:2,54,El Salvador,10.0,Emily Tevez,0,0.286,28,2,28.0
