date,gameId,name,team,nationality,PTS,REB,OR,DR,AS,ST,BS,PF,FD,FTM,FGA,FGM,FG3M,TO,MP,PM,EFF,off_net,def_net,stocks,starter,WL,WL_raw,corner3m,abovebk3m,rim_makes,midrange_makes,fb_pts,putback_pts
2025-06-28,121423,Melisa Gretter,ARG,Argentina,11,7,2,5,4,3,0,1,3,4,11,3,1,0,26.8,-20,17,-17.6,-2.4,3,True,-21,-21,0,1,0,1,0,0
2025-06-28,121423,Agostina Burani,ARG,Argentina,8,5,2,3,0,1,0,1,2,2,6,2,2,1,27.2,-15,9,-13.2,-1.8,1,True,-21,-21,1,1,0,0,0,3
2025-06-28,121423,Andrea Boquete,ARG,Argentina,8,3,1,2,0,0,0,0,0,0,9,3,2,0,24.1,-1,5,-0.9,-0.1,0,False,-21,-21,0,2,0,1,0,0
2025-06-28,121423,Diana Cabrera,ARG,Argentina,2,5,5,0,1,0,0,2,3,0,5,1,0,1,17.0,-1,3,-0.9,-0.1,0,False,-21,-21,0,0,1,0,0,0
2025-06-28,121423,Flor Martinez,ARG,Argentina,0,1,0,1,0,1,0,2,0,0,0,0,0,0,10.1,-7,2,-6.2,-0.8,1,False,-21,-21,0,0,0,0,0,0
2025-06-28,121423,Amaiquen Siciliano,ARG,Argentina,12,2,0,2,2,2,0,4,3,2,12,4,2,2,16.0,-8,8,-7.0,-1.0,2,False,-21,-21,1,1,1,0,0,0
2025-06-28,121423,Julieta Mungo,ARG,Argentina,0,2,0,2,0,2,0,2,3,0,5,0,0,1,14.0,-6,-4,-5.3,-0.7,2,False,-21,-21,0,0,0,0,0,0
2025-06-28,121423,Florencia Chagas,ARG,Argentina,2,0,0,0,0,0,0,1,0,0,9,1,0,1,17.8,-16,-7,-14.1,-1.9,0,True,-21,-21,0,0,1,0,0,0
2025-06-28,121423,Macarena D'urso,ARG,Argentina,0,2,0,2,2,1,0,2,0,0,3,0,0,3,22.4,-13,-1,-11.4,-1.6,1,True,-21,-21,0,0,0,0,0,0
2025-06-28,121423,Victoria Gauna,ARG,Argentina,7,3,2,1,1,0,0,3,3,1,8,2,2,1,24.8,-18,3,-15.8,-2.2,0,True,-21,-21,0,2,0,0,0,0
2025-06-28,121423,Bella Nascimento,BRA,Brazil,7,5,0,5,4,1,0,0,2,2,5,2,1,1,17.5,11,13,1.3,9.7,1,True,+21,21,0,1,1,0,0,0
2025-06-28,121423,Kamilla Cardoso,BRA,Brazil,8,11,2,9,4,0,2,3,4,0,5,4,0,3,34.0,28,19,3.4,24.6,2,True,+21,21,0,0,1,0,0,0
2025-06-28,121423,Emanuely De Oliveira,BRA,Brazil,4,6,1,5,1,0,0,3,1,2,6,1,0,1,19.9,6,5,0.7,5.3,0,False,+21,21,0,0,1,0,0,0
2025-06-28,121423,Damiris Dantas,BRA,Brazil,24,7,1,6,0,0,0,1,6,3,19,9,3,3,33.4,22,16,2.7,19.3,0,True,+21,21,0,3,3,2,0,0
2025-06-28,121423,Cacá Martins,BRA,Brazil,3,3,1,2,2,0,0,1,1,0,3,1,1,3,15.1,-8,3,-1.0,-7.0,0,False,+21,21,0,1,0,0,0,0
2025-06-28,121423,Aline Moura,BRA,Brazil,2,4,1,3,1,1,1,1,1,0,4,1,0,0,12.6,-8,6,-1.0,-7.0,2,False,+21,21,0,0,0,0,0,0
2025-06-28,121423,Vitoria Marcelino,BRA,Brazil,13,6,5,1,0,0,1,1,1,0,10,6,1,3,30.1,19,13,2.3,16.7,1,True,+21,21,0,1,4,1,0,8
2025-06-28,121423,Alana Gonçalo,BRA,Brazil,10,5,0,5,2,0,0,4,0,0,9,4,2,3,24.9,27,9,3.3,23.7,0,True,+21,21,0,2,0,1,0,0
2025-06-28,121423,Catarina Ferreira,BRA,Brazil,0,4,2,2,3,0,0,4,1,0,2,0,0,0,12.6,8,5,1.0,7.0,0,False,+21,21,0,0,0,0,0,0
2025-06-28,121424,Liliana Alvarado,ESA,El Salvador,0,0,0,0,0,0,0,2,0,0,3,0,0,0,11.4,-19,-3,-9.7,-9.3,0,False,-66,-66,0,0,0,0,0,0
2025-06-28,121424,Ana Quijano,ESA,El Salvador,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.7,-15,-1,-7.6,-7.4,0,False,-66,-66,0,0,0,0,0,0
2025-06-28,121424,Hillary Martínez,ESA,El Salvador,5,3,2,1,1,1,0,3,2,0,14,2,1,2,32.8,-52,-4,-26.5,-25.5,1,True,-66,-66,0,1,1,0,2,0
2025-06-28,121424,Gabriela Escobar,ESA,El Salvador,8,1,0,1,1,0,0,2,0,0,10,4,0,3,19.4,-25,1,-12.7,-12.3,0,False,-66,-66,0,0,2,2,2,0
2025-06-28,121424,Silvia Vega,ESA,El Salvador,2,2,2,0,0,0,0,3,0,0,4,1,0,0,10.8,-20,1,-10.2,-9.8,0,False,-66,-66,0,0,1,0,0,2
2025-06-28,121424,Emily Tevez,ESA,El Salvador,6,1,0,1,1,1,0,0,2,0,7,2,2,1,28.0,-44,3,-22.4,-21.6,1,True,-66,-66,2,0,0,0,0,0
2025-06-28,121424,Elisa Domínguez,ESA,El Salvador,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.3,-6,-1,-3.1,-2.9,0,False,-66,-66,0,0,0,0,0,0
2025-06-28,121424,Adriana Rivas,ESA,El Salvador,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4.8,-7,1,-3.6,-3.4,0,False,-66,-66,0,0,0,0,0,0
2025-06-28,121424,Fátima Avilés,ESA,El Salvador,2,0,0,0,0,0,0,0,0,0,1,1,0,0,9.4,-16,2,-8.2,-7.8,0,False,-66,-66,0,0,1,0,0,0
2025-06-28,121424,Kimberly Villalobos,ESA,El Salvador,8,6,0,6,0,0,2,3,2,2,9,3,0,1,31.2,-48,8,-24.5,-23.5,2,True,-66,-66,0,0,1,0,0,0
2025-06-28,121424,Gabriela Alfaro,ESA,El Salvador,0,0,0,0,0,0,0,1,0,0,3,0,0,0,17.8,-38,-3,-19.4,-18.6,0,True,-66,-66,0,0,0,0,0,0
2025-06-28,121424,Brandi Harvey-Carr,ESA,El Salvador,3,4,1,3,0,1,2,4,1,1,6,1,0,5,23.3,-40,-1,-20.4,-19.6,3,True,-66,-66,0,0,1,0,0,2
2025-06-28,121424,Shay Colley,CAN,Canada,8,1,0,1,8,2,0,0,2,3,4,2,1,3,12.2,30,13,14.7,15.3,2,False,+66,66,0,1,1,0,2,0
2025-06-28,121424,Delaney Gibb,CAN,Canada,9,0,0,0,0,0,0,0,0,0,7,3,3,1,10.5,10,4,4.9,5.1,0,False,+66,66,2,1,0,0,0,0
2025-06-28,121424,Sami Hill,CAN,Canada,10,0,0,0,3,1,0,0,2,2,7,3,2,1,20.7,37,9,18.1,18.9,1,True,+66,66,1,1,1,0,0,0
2025-06-28,121424,Niyah Becker,CAN,Canada,8,1,1,0,3,0,0,0,1,2,6,3,0,0,18.3,28,9,13.7,14.3,0,False,+66,66,0,0,2,1,2,0
2025-06-28,121424,Tara Wallack,CAN,Canada,11,6,3,3,2,0,0,1,3,6,4,2,1,2,21.8,33,15,16.2,16.8,0,False,+66,66,0,1,1,0,2,3
2025-06-28,121424,Yvonne Ejim,CAN,Canada,8,12,3,9,2,2,0,1,0,0,5,4,0,0,18.7,33,23,16.2,16.8,2,True,+66,66,0,0,2,0,2,6
2025-06-28,121424,Emily Potter,CAN,Canada,4,7,2,5,1,1,0,1,1,2,1,1,0,1,8.1,12,12,5.9,6.1,1,False,+66,66,0,0,0,1,0,0
2025-06-28,121424,Syla Swords,CAN,Canada,8,7,2,5,3,0,0,0,0,0,7,3,2,1,15.5,26,13,12.7,13.3,0,False,+66,66,0,2,0,1,0,0
2025-06-28,121424,Merissah Russell,CAN,Canada,8,4,2,2,2,0,0,3,2,0,8,3,2,0,18.7,33,9,16.2,16.8,0,True,+66,66,0,2,1,0,0,5
