gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
121423,Argentina,14,ARG,50,68.45400419287212,73.0,2,103.7,30.1,14.6,55.6,62.5
121423,Brazil,27,BRA,71,68.45400419287212,103.7,3,73.0,50.8,24.8,75.5,60.7
121424,El Salvador,54,ESA,34,67.65211170212766,50.3,0,147.8,26.3,23.7,35.0,28.6
121424,Canada,34,CAN,100,67.65211170212766,147.8,3,50.3,53.6,16.3,85.1,93.5
121433,Colombia,40,COL,65,71.08054347826086,91.4,2,95.7,40.7,22.5,67.4,50.0
121433,Puerto Rico,125,PUR,68,71.08054347826086,95.7,3,91.4,42.4,14.1,69.2,60.0
121434,Chile,38,CHI,47,80.11754492939666,58.7,1,134.8,34.3,33.7,48.8,93.3
121434,USA,154,USA,108,80.11754492939666,134.8,5,58.7,57.1,15.0,81.6,51.2
121425,Dominican Republic,51,DOM,61,73.63949387755102,82.8,2,80.1,34.9,24.4,72.0,60.0
121425,El Salvador,54,ESA,59,73.63949387755102,80.1,3,82.8,33.6,13.6,61.2,52.4
121426,Canada,34,CAN,71,70.52331699346405,100.7,3,68.1,48.3,21.3,74.5,53.8
121426,Argentina,14,ARG,48,70.52331699346405,68.1,2,100.7,31.2,15.6,69.4,78.9
121435,Mexico,104,MEX,76,70.01387499999998,108.5,4,84.3,42.1,14.3,90.6,66.7
121435,Chile,38,CHI,59,70.01387499999998,84.3,3,108.5,49.0,24.3,67.5,60.0
121436,USA,154,USA,80,71.7288,111.5,3,59.9,41.6,23.7,76.0,86.2
121436,Colombia,40,COL,43,71.7288,59.9,1,111.5,26.6,20.9,40.0,42.9
121427,Argentina,14,ARG,67,70.25500239120038,95.4,2,72.6,40.4,24.2,70.7,75.0
121427,Dominican Republic,51,DOM,51,70.25500239120038,72.6,1,95.4,34.7,28.5,49.0,64.3
121428,Brazil,27,BRA,74,77.6649496080627,95.3,3,83.7,43.1,23.2,76.6,104.5
121428,Canada,34,CAN,65,77.6649496080627,83.7,4,95.3,36.4,20.6,71.1,70.0
121437,Colombia,40,COL,71,75.45573051948053,94.1,3,79.5,44.2,14.6,69.6,65.4
121437,Mexico,104,MEX,60,75.45573051948053,79.5,2,94.1,32.7,15.9,72.7,52.4
