gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
121423,Argentina,14,ARG,1,10,0,20,13,33,17,23,7,30.4,45,9,20.0,68,16,23.5,12,9,75.0,17,5,29.4,18,50,10,10,2,200.0,121423,Brazil,27,BRA,1,17,4,40,16,56,17,37,20,54.1,26,8,30.8,63,28,44.4,11,7,63.6,24,16,66.7,18,71,2,17,3,200.0
121423,Brazil,27,BRA,2,17,4,40,16,56,17,37,20,54.1,26,8,30.8,63,28,44.4,11,7,63.6,24,16,66.7,18,71,2,17,3,200.0,121423,Argentina,14,ARG,2,10,0,20,13,33,17,23,7,30.4,45,9,20.0,68,16,23.5,12,9,75.0,17,5,29.4,18,50,10,10,2,200.0
121424,El Salvador,54,ESA,1,4,4,14,7,21,8,46,11,23.9,13,3,23.1,59,14,23.7,5,3,60.0,27,9,33.3,19,34,3,16,0,200.0,121424,Canada,34,CAN,1,29,3,40,26,66,19,34,18,52.9,36,13,36.1,70,31,44.3,29,25,86.2,27,15,55.6,8,100,7,11,3,200.0
121424,Canada,34,CAN,2,29,3,40,26,66,19,34,18,52.9,36,13,36.1,70,31,44.3,29,25,86.2,27,15,55.6,8,100,7,11,3,200.0,121424,El Salvador,54,ESA,2,4,4,14,7,21,8,46,11,23.9,13,3,23.1,59,14,23.7,5,3,60.0,27,9,33.3,19,34,3,16,0,200.0
121433,Colombia,40,COL,1,10,4,31,12,43,19,36,12,33.3,23,8,34.8,59,20,33.9,24,17,70.8,22,7,31.8,15,65,6,16,2,200.0,121433,Puerto Rico,125,PUR,1,15,2,27,15,42,15,36,14,38.9,36,11,30.6,72,25,34.7,12,7,58.3,26,11,42.3,19,68,10,10,3,200.0
121433,Puerto Rico,125,PUR,2,15,2,27,15,42,15,36,14,38.9,36,11,30.6,72,25,34.7,12,7,58.3,26,11,42.3,19,68,10,10,3,200.0,121433,Colombia,40,COL,2,10,4,31,12,43,19,36,12,33.3,23,8,34.8,59,20,33.9,24,17,70.8,22,7,31.8,15,65,6,16,2,200.0
121434,Chile,38,CHI,1,14,3,20,7,27,14,24,8,33.3,30,7,23.3,54,15,27.8,16,10,62.5,21,8,38.1,17,47,6,27,1,200.0,121434,USA,154,USA,1,21,3,31,21,52,17,61,34,55.7,17,7,41.2,78,41,52.6,27,19,70.4,52,33,63.5,14,108,20,12,5,200.0
121434,USA,154,USA,2,21,3,31,21,52,17,61,34,55.7,17,7,41.2,78,41,52.6,27,19,70.4,52,33,63.5,14,108,20,12,5,200.0,121434,Chile,38,CHI,2,14,3,20,7,27,14,24,8,33.3,30,7,23.3,54,15,27.8,16,10,62.5,21,8,38.1,17,47,6,27,1,200.0
121425,Dominican Republic,51,DOM,1,12,6,36,19,55,22,44,16,36.4,19,4,21.1,63,20,31.8,31,17,54.8,35,14,40.0,14,61,2,18,2,200.0,121425,El Salvador,54,ESA,1,11,0,30,14,44,14,52,16,30.8,18,5,27.8,70,21,30.0,16,12,75.0,38,14,36.8,22,59,9,10,3,200.0
121425,El Salvador,54,ESA,2,11,0,30,14,44,14,52,16,30.8,18,5,27.8,70,21,30.0,16,12,75.0,38,14,36.8,22,59,9,10,3,200.0,121425,Dominican Republic,51,DOM,2,12,6,36,19,55,22,44,16,36.4,19,4,21.1,63,20,31.8,31,17,54.8,35,14,40.0,14,61,2,18,2,200.0
